Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ReconDEager,1,880879381715801850,0.875,0.875,0.875,0.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,10.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,20.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,30.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,40.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,50.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,60.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,70.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,80.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,90.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,100.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,110.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,120.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,130.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,140.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,150.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,160.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,170.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,180.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,190.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,200.0,0,0,1,6,0,1,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,210.0,0,0,2,10,0,2,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,220.0,0,0,2,10,0,2,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,230.0,0,0,2,10,0,2,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,240.0,0,0,2,10,0,2,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,250.0,0,0,2,10,0,2,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,260.0,0,0,4,16,0,4,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,270.0,0,0,5,20,0,4,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,280.0,0,0,6,23,0,5,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,290.0,0,0,7,26,0,6,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,300.0,0,0,8,30,0,7,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,310.0,0,0,8,30,0,7,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,320.0,0,0,8,30,0,7,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,330.0,0,0,10,37,0,9,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,340.0,0,0,10,37,0,9,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,350.0,0,0,13,50,0,10,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,360.0,0,0,14,54,0,11,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,370.0,0,0,14,54,0,11,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,380.0,0,0,14,54,0,11,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,390.0,0,0,16,60,0,14,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,400.0,0,0,16,60,0,14,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,410.0,0,0,16,60,0,14,0,0,0.0,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,420.0,0,0,17,64,1,14,2,0,0.0233,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,430.0,0,0,18,67,1,14,5,0,0.0583,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,440.0,0,0,18,67,1,14,5,0,0.0583,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,450.0,0,0,20,72,1,16,5,0,0.0583,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,460.0,0,0,20,72,1,16,5,0,0.0583,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,470.0,0,0,20,72,1,17,5,0,0.0583,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,480.0,0,0,21,74,1,17,5,0,0.0583,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,490.0,0,0,22,76,2,17,6,0,0.0706,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,500.0,0,0,22,76,2,18,8,0,0.095,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,510.0,0,0,23,80,3,18,8,0,0.095,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,520.0,0,0,24,82,3,19,8,0,0.095,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,530.0,0,0,25,83,4,19,8,0,0.095,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,540.0,0,0,25,83,4,19,8,0,0.095,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,550.0,0,0,25,83,4,19,10,0,0.1194,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,560.0,0,0,25,83,4,19,10,0,0.1194,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,570.0,0,0,25,83,4,19,10,0,0.1194,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,580.0,0,0,25,83,4,19,12,0,0.1428,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,590.0,0,0,25,83,4,19,15,0,0.1778,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,600.0,0,0,26,87,4,20,15,0,0.1778,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,610.0,0,0,27,88,4,23,15,0,0.1778,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,620.0,0,0,28,89,4,24,15,0,0.1778,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,630.0,0,0,28,89,4,25,15,0,0.1778,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,640.0,0,0,28,89,4,25,15,0,0.1778,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,650.0,0,0,28,89,4,25,15,0,0.1778,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,660.0,0,0,28,89,4,25,15,0,0.1778,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,670.0,0,0,28,89,4,25,15,0,0.1778,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,680.0,0,0,28,89,4,25,15,0,0.1778,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,690.0,0,0,28,89,4,26,15,0,0.1778,0.0
ReconDEager,1,880879381715801850,0.875,0.875,0.875,700.0,0,0,28,89,4,27,15,0,0.1778,0.0
