Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,0.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,10.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,20.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,30.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,40.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,50.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,60.0,0,0,0,0,0,0,0,0,0.0,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,70.0,0,0,1,6,1,0,0,5,0.0,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,80.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,90.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,100.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,110.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,120.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,130.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,140.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,150.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,160.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,170.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,180.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,190.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,200.0,0,0,1,6,1,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,210.0,0,0,2,10,2,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,220.0,0,0,2,10,2,0,1,6,0.0144,0.0
ReconDGenerous,1,880879381715801850,0.875,0.875,0.875,230.0,0,0,2,10,2,0,1,6,0.0144,0.0
