Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32BestWalkA,1,880879381715801850,1.0,1.0,0.0,32,613,0.5547
ScenarioSize64Probes32BestWalkA,2,1726760884372734954,1.0,1.0,0.0,32,638,0.5645
ScenarioSize64Probes32BestWalkA,3,4258223208824758363,1.0,1.0,0.0,32,645,0.5637
ScenarioSize64Probes32BestWalkA,4,2933576904639372249,1.0,1.0,0.0,32,671,0.574
ScenarioSize64Probes32BestWalkA,5,1619482046725515514,1.0,1.0,0.0,32,610,0.5627
ScenarioSize64Probes32BestWalkA,6,8295202924942681088,1.0,1.0,0.0,32,657,0.575
ScenarioSize64Probes32BestWalkA,7,6220178296303381513,1.0,1.0,0.0,32,624,0.5657
ScenarioSize64Probes32BestWalkA,8,6524421527956593628,1.0,1.0,0.0,32,670,0.5752
ScenarioSize64Probes32BestWalkA,9,1279641774440027009,1.0,1.0,0.0,32,646,0.5789
ScenarioSize64Probes32BestWalkA,10,7094737511858396355,1.0,1.0,0.0,32,634,0.5657
ScenarioSize64Probes32BestWalkA,11,7842193693029557975,1.0,1.0,0.0,32,623,0.5679
ScenarioSize64Probes32BestWalkA,12,2392680491109428476,1.0,1.0,0.0,32,656,0.5654
ScenarioSize64Probes32BestWalkA,13,3866198558357324097,1.0,1.0,0.0,32,627,0.5735
ScenarioSize64Probes32BestWalkA,14,1395931845597272999,1.0,1.0,0.0,32,626,0.5642
ScenarioSize64Probes32BestWalkA,15,2411645404100907887,1.0,1.0,0.0,32,630,0.5618
ScenarioSize64Probes32BestWalkA,16,3005318628866213391,1.0,1.0,0.0,32,639,0.5667
ScenarioSize64Probes32BestWalkA,17,1188136200599286222,1.0,1.0,0.0,32,653,0.5771
ScenarioSize64Probes32BestWalkA,18,679805008651456991,1.0,1.0,0.0,32,647,0.5659
ScenarioSize64Probes32BestWalkA,19,2317393341493435360,1.0,1.0,0.0,32,640,0.5645
ScenarioSize64Probes32BestWalkA,20,4066160913880139597,1.0,1.0,0.0,32,606,0.5623
