Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32BestWalkB,1,880879381715801850,0.0,0.5,0.0,32,266,0.2611
ScenarioSize64Probes32BestWalkB,2,1726760884372734954,0.0,0.5,0.0,32,253,0.2622
ScenarioSize64Probes32BestWalkB,3,4258223208824758363,0.0,0.5,0.0,32,254,0.2626
ScenarioSize64Probes32BestWalkB,4,2933576904639372249,0.0,0.5,0.0,32,276,0.2618
ScenarioSize64Probes32BestWalkB,5,1619482046725515514,0.0,0.5,0.0,32,268,0.2604
ScenarioSize64Probes32BestWalkB,6,8295202924942681088,0.0,0.5,0.0,32,236,0.2622
ScenarioSize64Probes32BestWalkB,7,6220178296303381513,0.0,0.5,0.0,32,262,0.2607
ScenarioSize64Probes32BestWalkB,8,6524421527956593628,0.0,0.5,0.0,32,269,0.2624
ScenarioSize64Probes32BestWalkB,9,1279641774440027009,0.0,0.5,0.0,32,264,0.2626
ScenarioSize64Probes32BestWalkB,10,7094737511858396355,0.0,0.5,0.0,32,254,0.2612
ScenarioSize64Probes32BestWalkB,11,7842193693029557975,0.0,0.5,0.0,32,233,0.2621
ScenarioSize64Probes32BestWalkB,12,2392680491109428476,0.0,0.5,0.0,32,268,0.2625
ScenarioSize64Probes32BestWalkB,13,3866198558357324097,0.0,0.5,0.0,32,256,0.2635
ScenarioSize64Probes32BestWalkB,14,1395931845597272999,0.0,0.5,0.0,32,274,0.2626
ScenarioSize64Probes32BestWalkB,15,2411645404100907887,0.0,0.5,0.0,32,245,0.2625
ScenarioSize64Probes32BestWalkB,16,3005318628866213391,0.0,0.5,0.0,32,240,0.2613
ScenarioSize64Probes32BestWalkB,17,1188136200599286222,0.0,0.5,0.0,32,275,0.2607
ScenarioSize64Probes32BestWalkB,18,679805008651456991,0.0,0.5,0.0,32,235,0.2633
ScenarioSize64Probes32BestWalkB,19,2317393341493435360,0.0,0.5,0.0,32,250,0.2622
ScenarioSize64Probes32BestWalkB,20,4066160913880139597,0.0,0.5,0.0,32,256,0.2629
ScenarioSize64Probes32BestWalkB,21,880879381715801850,0.0,0.75,0.0,32,358,0.3584
ScenarioSize64Probes32BestWalkB,22,1726760884372734954,0.0,0.75,0.0,32,347,0.36
ScenarioSize64Probes32BestWalkB,23,4258223208824758363,0.0,0.75,0.0,32,356,0.3604
ScenarioSize64Probes32BestWalkB,24,2933576904639372249,0.0,0.75,0.0,32,376,0.3616
ScenarioSize64Probes32BestWalkB,25,1619482046725515514,0.0,0.75,0.0,32,363,0.3616
ScenarioSize64Probes32BestWalkB,26,8295202924942681088,0.0,0.75,0.0,32,341,0.3631
ScenarioSize64Probes32BestWalkB,27,6220178296303381513,0.0,0.75,0.0,32,357,0.3609
ScenarioSize64Probes32BestWalkB,28,6524421527956593628,0.0,0.75,0.0,32,379,0.3595
ScenarioSize64Probes32BestWalkB,29,1279641774440027009,0.0,0.75,0.0,32,379,0.3614
ScenarioSize64Probes32BestWalkB,30,7094737511858396355,0.0,0.75,0.0,32,360,0.3624
ScenarioSize64Probes32BestWalkB,31,7842193693029557975,0.0,0.75,0.0,32,380,0.3576
ScenarioSize64Probes32BestWalkB,32,2392680491109428476,0.0,0.75,0.0,32,374,0.3566
ScenarioSize64Probes32BestWalkB,33,3866198558357324097,0.0,0.75,0.0,32,336,0.359
ScenarioSize64Probes32BestWalkB,34,1395931845597272999,0.0,0.75,0.0,32,318,0.3622
ScenarioSize64Probes32BestWalkB,35,2411645404100907887,0.0,0.75,0.0,32,370,0.3611
ScenarioSize64Probes32BestWalkB,36,3005318628866213391,0.0,0.75,0.0,32,344,0.3607
ScenarioSize64Probes32BestWalkB,37,1188136200599286222,0.0,0.75,0.0,32,343,0.3581
ScenarioSize64Probes32BestWalkB,38,679805008651456991,0.0,0.75,0.0,32,358,0.3609
ScenarioSize64Probes32BestWalkB,39,2317393341493435360,0.0,0.75,0.0,32,358,0.3596
ScenarioSize64Probes32BestWalkB,40,4066160913880139597,0.0,0.75,0.0,32,371,0.363
ScenarioSize64Probes32BestWalkB,41,880879381715801850,0.0,1.0,0.0,32,431,0.4425
ScenarioSize64Probes32BestWalkB,42,1726760884372734954,0.0,1.0,0.0,32,442,0.4428
ScenarioSize64Probes32BestWalkB,43,4258223208824758363,0.0,1.0,0.0,32,451,0.4448
ScenarioSize64Probes32BestWalkB,44,2933576904639372249,0.0,1.0,0.0,32,432,0.4424
ScenarioSize64Probes32BestWalkB,45,1619482046725515514,0.0,1.0,0.0,32,471,0.4461
ScenarioSize64Probes32BestWalkB,46,8295202924942681088,0.0,1.0,0.0,32,444,0.4455
ScenarioSize64Probes32BestWalkB,47,6220178296303381513,0.0,1.0,0.0,32,428,0.442
ScenarioSize64Probes32BestWalkB,48,6524421527956593628,0.0,1.0,0.0,32,454,0.4452
ScenarioSize64Probes32BestWalkB,49,1279641774440027009,0.0,1.0,0.0,32,470,0.4415
ScenarioSize64Probes32BestWalkB,50,7094737511858396355,0.0,1.0,0.0,32,438,0.4407
ScenarioSize64Probes32BestWalkB,51,7842193693029557975,0.0,1.0,0.0,32,435,0.4451
ScenarioSize64Probes32BestWalkB,52,2392680491109428476,0.0,1.0,0.0,32,432,0.4431
ScenarioSize64Probes32BestWalkB,53,3866198558357324097,0.0,1.0,0.0,32,443,0.4431
ScenarioSize64Probes32BestWalkB,54,1395931845597272999,0.0,1.0,0.0,32,459,0.4438
ScenarioSize64Probes32BestWalkB,55,2411645404100907887,0.0,1.0,0.0,32,454,0.443
ScenarioSize64Probes32BestWalkB,56,3005318628866213391,0.0,1.0,0.0,32,450,0.4431
ScenarioSize64Probes32BestWalkB,57,1188136200599286222,0.0,1.0,0.0,32,422,0.4432
ScenarioSize64Probes32BestWalkB,58,679805008651456991,0.0,1.0,0.0,32,430,0.445
ScenarioSize64Probes32BestWalkB,59,2317393341493435360,0.0,1.0,0.0,32,431,0.4452
ScenarioSize64Probes32BestWalkB,60,4066160913880139597,0.0,1.0,0.0,32,443,0.445
ScenarioSize64Probes32BestWalkB,61,880879381715801850,0.25,0.5,0.0,32,286,0.2677
ScenarioSize64Probes32BestWalkB,62,1726760884372734954,0.25,0.5,0.0,32,302,0.2684
ScenarioSize64Probes32BestWalkB,63,4258223208824758363,0.25,0.5,0.0,32,260,0.269
ScenarioSize64Probes32BestWalkB,64,2933576904639372249,0.25,0.5,0.0,32,255,0.2684
ScenarioSize64Probes32BestWalkB,65,1619482046725515514,0.25,0.5,0.0,32,266,0.269
ScenarioSize64Probes32BestWalkB,66,8295202924942681088,0.25,0.5,0.0,32,266,0.2684
ScenarioSize64Probes32BestWalkB,67,6220178296303381513,0.25,0.5,0.0,32,253,0.2686
ScenarioSize64Probes32BestWalkB,68,6524421527956593628,0.25,0.5,0.0,32,258,0.2686
ScenarioSize64Probes32BestWalkB,69,1279641774440027009,0.25,0.5,0.0,32,253,0.2688
ScenarioSize64Probes32BestWalkB,70,7094737511858396355,0.25,0.5,0.0,32,274,0.2687
ScenarioSize64Probes32BestWalkB,71,7842193693029557975,0.25,0.5,0.0,32,245,0.2687
ScenarioSize64Probes32BestWalkB,72,2392680491109428476,0.25,0.5,0.0,32,282,0.2683
ScenarioSize64Probes32BestWalkB,73,3866198558357324097,0.25,0.5,0.0,32,269,0.2684
ScenarioSize64Probes32BestWalkB,74,1395931845597272999,0.25,0.5,0.0,32,251,0.2681
ScenarioSize64Probes32BestWalkB,75,2411645404100907887,0.25,0.5,0.0,32,244,0.2687
ScenarioSize64Probes32BestWalkB,76,3005318628866213391,0.25,0.5,0.0,32,291,0.2689
ScenarioSize64Probes32BestWalkB,77,1188136200599286222,0.25,0.5,0.0,32,263,0.2681
ScenarioSize64Probes32BestWalkB,78,679805008651456991,0.25,0.5,0.0,32,283,0.2686
ScenarioSize64Probes32BestWalkB,79,2317393341493435360,0.25,0.5,0.0,32,274,0.2683
ScenarioSize64Probes32BestWalkB,80,4066160913880139597,0.25,0.5,0.0,32,268,0.2677
ScenarioSize64Probes32BestWalkB,81,880879381715801850,0.25,0.75,0.0,32,365,0.3735
ScenarioSize64Probes32BestWalkB,82,1726760884372734954,0.25,0.75,0.0,32,371,0.3728
ScenarioSize64Probes32BestWalkB,83,4258223208824758363,0.25,0.75,0.0,32,430,0.372
ScenarioSize64Probes32BestWalkB,84,2933576904639372249,0.25,0.75,0.0,32,369,0.3725
ScenarioSize64Probes32BestWalkB,85,1619482046725515514,0.25,0.75,0.0,32,355,0.3741
ScenarioSize64Probes32BestWalkB,86,8295202924942681088,0.25,0.75,0.0,32,353,0.3734
ScenarioSize64Probes32BestWalkB,87,6220178296303381513,0.25,0.75,0.0,32,381,0.3735
ScenarioSize64Probes32BestWalkB,88,6524421527956593628,0.25,0.75,0.0,32,366,0.3738
ScenarioSize64Probes32BestWalkB,89,1279641774440027009,0.25,0.75,0.0,32,356,0.3728
ScenarioSize64Probes32BestWalkB,90,7094737511858396355,0.25,0.75,0.0,32,364,0.3729
ScenarioSize64Probes32BestWalkB,91,7842193693029557975,0.25,0.75,0.0,32,398,0.3722
ScenarioSize64Probes32BestWalkB,92,2392680491109428476,0.25,0.75,0.0,32,380,0.3727
ScenarioSize64Probes32BestWalkB,93,3866198558357324097,0.25,0.75,0.0,32,378,0.3686
ScenarioSize64Probes32BestWalkB,94,1395931845597272999,0.25,0.75,0.0,32,346,0.3723
ScenarioSize64Probes32BestWalkB,95,2411645404100907887,0.25,0.75,0.0,32,367,0.3721
ScenarioSize64Probes32BestWalkB,96,3005318628866213391,0.25,0.75,0.0,32,362,0.3736
ScenarioSize64Probes32BestWalkB,97,1188136200599286222,0.25,0.75,0.0,32,352,0.3732
ScenarioSize64Probes32BestWalkB,98,679805008651456991,0.25,0.75,0.0,32,360,0.372
ScenarioSize64Probes32BestWalkB,99,2317393341493435360,0.25,0.75,0.0,32,382,0.3734
ScenarioSize64Probes32BestWalkB,100,4066160913880139597,0.25,0.75,0.0,32,375,0.3723
ScenarioSize64Probes32BestWalkB,101,880879381715801850,0.25,1.0,0.0,32,472,0.4629
ScenarioSize64Probes32BestWalkB,102,1726760884372734954,0.25,1.0,0.0,32,466,0.4606
ScenarioSize64Probes32BestWalkB,103,4258223208824758363,0.25,1.0,0.0,32,453,0.4617
ScenarioSize64Probes32BestWalkB,104,2933576904639372249,0.25,1.0,0.0,32,459,0.4618
ScenarioSize64Probes32BestWalkB,105,1619482046725515514,0.25,1.0,0.0,32,457,0.4601
ScenarioSize64Probes32BestWalkB,106,8295202924942681088,0.25,1.0,0.0,32,461,0.4603
ScenarioSize64Probes32BestWalkB,107,6220178296303381513,0.25,1.0,0.0,32,482,0.4614
ScenarioSize64Probes32BestWalkB,108,6524421527956593628,0.25,1.0,0.0,32,470,0.4597
ScenarioSize64Probes32BestWalkB,109,1279641774440027009,0.25,1.0,0.0,32,481,0.4589
ScenarioSize64Probes32BestWalkB,110,7094737511858396355,0.25,1.0,0.0,32,475,0.4617
ScenarioSize64Probes32BestWalkB,111,7842193693029557975,0.25,1.0,0.0,32,447,0.4615
ScenarioSize64Probes32BestWalkB,112,2392680491109428476,0.25,1.0,0.0,32,492,0.4624
ScenarioSize64Probes32BestWalkB,113,3866198558357324097,0.25,1.0,0.0,32,413,0.4581
ScenarioSize64Probes32BestWalkB,114,1395931845597272999,0.25,1.0,0.0,32,442,0.4573
ScenarioSize64Probes32BestWalkB,115,2411645404100907887,0.25,1.0,0.0,32,450,0.4607
ScenarioSize64Probes32BestWalkB,116,3005318628866213391,0.25,1.0,0.0,32,446,0.4613
ScenarioSize64Probes32BestWalkB,117,1188136200599286222,0.25,1.0,0.0,32,452,0.4617
ScenarioSize64Probes32BestWalkB,118,679805008651456991,0.25,1.0,0.0,32,450,0.4589
ScenarioSize64Probes32BestWalkB,119,2317393341493435360,0.25,1.0,0.0,32,482,0.4644
ScenarioSize64Probes32BestWalkB,120,4066160913880139597,0.25,1.0,0.0,32,485,0.4622
ScenarioSize64Probes32BestWalkB,121,880879381715801850,0.5,0.5,0.0,32,289,0.2754
ScenarioSize64Probes32BestWalkB,122,1726760884372734954,0.5,0.5,0.0,32,248,0.2754
ScenarioSize64Probes32BestWalkB,123,4258223208824758363,0.5,0.5,0.0,32,259,0.2747
ScenarioSize64Probes32BestWalkB,124,2933576904639372249,0.5,0.5,0.0,32,261,0.2738
ScenarioSize64Probes32BestWalkB,125,1619482046725515514,0.5,0.5,0.0,32,276,0.2712
ScenarioSize64Probes32BestWalkB,126,8295202924942681088,0.5,0.5,0.0,32,279,0.2746
ScenarioSize64Probes32BestWalkB,127,6220178296303381513,0.5,0.5,0.0,32,286,0.2745
ScenarioSize64Probes32BestWalkB,128,6524421527956593628,0.5,0.5,0.0,32,278,0.2762
ScenarioSize64Probes32BestWalkB,129,1279641774440027009,0.5,0.5,0.0,32,281,0.2754
ScenarioSize64Probes32BestWalkB,130,7094737511858396355,0.5,0.5,0.0,32,285,0.2759
ScenarioSize64Probes32BestWalkB,131,7842193693029557975,0.5,0.5,0.0,32,264,0.275
ScenarioSize64Probes32BestWalkB,132,2392680491109428476,0.5,0.5,0.0,32,296,0.2742
ScenarioSize64Probes32BestWalkB,133,3866198558357324097,0.5,0.5,0.0,32,269,0.2752
ScenarioSize64Probes32BestWalkB,134,1395931845597272999,0.5,0.5,0.0,32,275,0.2752
ScenarioSize64Probes32BestWalkB,135,2411645404100907887,0.5,0.5,0.0,32,283,0.2751
ScenarioSize64Probes32BestWalkB,136,3005318628866213391,0.5,0.5,0.0,32,290,0.2751
ScenarioSize64Probes32BestWalkB,137,1188136200599286222,0.5,0.5,0.0,32,261,0.2743
ScenarioSize64Probes32BestWalkB,138,679805008651456991,0.5,0.5,0.0,32,302,0.2755
ScenarioSize64Probes32BestWalkB,139,2317393341493435360,0.5,0.5,0.0,32,281,0.2749
ScenarioSize64Probes32BestWalkB,140,4066160913880139597,0.5,0.5,0.0,32,272,0.2752
ScenarioSize64Probes32BestWalkB,141,880879381715801850,0.5,0.75,0.0,32,359,0.3866
ScenarioSize64Probes32BestWalkB,142,1726760884372734954,0.5,0.75,0.0,32,379,0.3866
ScenarioSize64Probes32BestWalkB,143,4258223208824758363,0.5,0.75,0.0,32,399,0.3846
ScenarioSize64Probes32BestWalkB,144,2933576904639372249,0.5,0.75,0.0,32,378,0.3831
ScenarioSize64Probes32BestWalkB,145,1619482046725515514,0.5,0.75,0.0,32,385,0.3857
ScenarioSize64Probes32BestWalkB,146,8295202924942681088,0.5,0.75,0.0,32,356,0.3848
ScenarioSize64Probes32BestWalkB,147,6220178296303381513,0.5,0.75,0.0,32,387,0.3855
ScenarioSize64Probes32BestWalkB,148,6524421527956593628,0.5,0.75,0.0,32,376,0.3857
ScenarioSize64Probes32BestWalkB,149,1279641774440027009,0.5,0.75,0.0,32,403,0.3853
ScenarioSize64Probes32BestWalkB,150,7094737511858396355,0.5,0.75,0.0,32,379,0.3826
ScenarioSize64Probes32BestWalkB,151,7842193693029557975,0.5,0.75,0.0,32,373,0.3853
ScenarioSize64Probes32BestWalkB,152,2392680491109428476,0.5,0.75,0.0,32,392,0.3853
ScenarioSize64Probes32BestWalkB,153,3866198558357324097,0.5,0.75,0.0,32,398,0.3857
ScenarioSize64Probes32BestWalkB,154,1395931845597272999,0.5,0.75,0.0,32,373,0.3866
ScenarioSize64Probes32BestWalkB,155,2411645404100907887,0.5,0.75,0.0,32,376,0.3852
ScenarioSize64Probes32BestWalkB,156,3005318628866213391,0.5,0.75,0.0,32,381,0.3853
ScenarioSize64Probes32BestWalkB,157,1188136200599286222,0.5,0.75,0.0,32,395,0.3843
ScenarioSize64Probes32BestWalkB,158,679805008651456991,0.5,0.75,0.0,32,355,0.3858
ScenarioSize64Probes32BestWalkB,159,2317393341493435360,0.5,0.75,0.0,32,381,0.3858
ScenarioSize64Probes32BestWalkB,160,4066160913880139597,0.5,0.75,0.0,32,408,0.3861
ScenarioSize64Probes32BestWalkB,161,880879381715801850,0.5,1.0,0.0,32,478,0.4815
ScenarioSize64Probes32BestWalkB,162,1726760884372734954,0.5,1.0,0.0,32,491,0.4795
ScenarioSize64Probes32BestWalkB,163,4258223208824758363,0.5,1.0,0.0,32,484,0.4832
ScenarioSize64Probes32BestWalkB,164,2933576904639372249,0.5,1.0,0.0,32,488,0.4795
ScenarioSize64Probes32BestWalkB,165,1619482046725515514,0.5,1.0,0.0,32,499,0.4804
ScenarioSize64Probes32BestWalkB,166,8295202924942681088,0.5,1.0,0.0,32,487,0.4811
ScenarioSize64Probes32BestWalkB,167,6220178296303381513,0.5,1.0,0.0,32,494,0.4807
ScenarioSize64Probes32BestWalkB,168,6524421527956593628,0.5,1.0,0.0,32,492,0.4836
ScenarioSize64Probes32BestWalkB,169,1279641774440027009,0.5,1.0,0.0,32,442,0.4806
ScenarioSize64Probes32BestWalkB,170,7094737511858396355,0.5,1.0,0.0,32,464,0.477
ScenarioSize64Probes32BestWalkB,171,7842193693029557975,0.5,1.0,0.0,32,471,0.4797
ScenarioSize64Probes32BestWalkB,172,2392680491109428476,0.5,1.0,0.0,32,471,0.4781
ScenarioSize64Probes32BestWalkB,173,3866198558357324097,0.5,1.0,0.0,32,499,0.4805
ScenarioSize64Probes32BestWalkB,174,1395931845597272999,0.5,1.0,0.0,32,471,0.4835
ScenarioSize64Probes32BestWalkB,175,2411645404100907887,0.5,1.0,0.0,32,483,0.4818
ScenarioSize64Probes32BestWalkB,176,3005318628866213391,0.5,1.0,0.0,32,466,0.4828
ScenarioSize64Probes32BestWalkB,177,1188136200599286222,0.5,1.0,0.0,32,489,0.4795
