Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32BestWalkC,1,880879381715801850,0.0,0.0,0.5,32,213,0.2063
ScenarioSize64Probes32BestWalkC,2,1726760884372734954,0.0,0.0,0.5,32,206,0.2097
ScenarioSize64Probes32BestWalkC,3,4258223208824758363,0.0,0.0,0.5,32,211,0.2054
ScenarioSize64Probes32BestWalkC,4,2933576904639372249,0.0,0.0,0.5,32,204,0.2083
ScenarioSize64Probes32BestWalkC,5,1619482046725515514,0.0,0.0,0.5,32,194,0.2103
ScenarioSize64Probes32BestWalkC,6,8295202924942681088,0.0,0.0,0.5,32,203,0.2071
ScenarioSize64Probes32BestWalkC,7,6220178296303381513,0.0,0.0,0.5,32,205,0.2081
ScenarioSize64Probes32BestWalkC,8,6524421527956593628,0.0,0.0,0.5,32,192,0.2121
ScenarioSize64Probes32BestWalkC,9,1279641774440027009,0.0,0.0,0.5,32,201,0.2104
ScenarioSize64Probes32BestWalkC,10,7094737511858396355,0.0,0.0,0.5,32,195,0.2098
ScenarioSize64Probes32BestWalkC,11,7842193693029557975,0.0,0.0,0.5,32,201,0.2097
ScenarioSize64Probes32BestWalkC,12,2392680491109428476,0.0,0.0,0.5,32,207,0.2067
ScenarioSize64Probes32BestWalkC,13,3866198558357324097,0.0,0.0,0.5,32,193,0.2107
ScenarioSize64Probes32BestWalkC,14,1395931845597272999,0.0,0.0,0.5,32,207,0.2084
ScenarioSize64Probes32BestWalkC,15,2411645404100907887,0.0,0.0,0.5,32,216,0.2045
ScenarioSize64Probes32BestWalkC,16,3005318628866213391,0.0,0.0,0.5,32,203,0.2097
ScenarioSize64Probes32BestWalkC,17,1188136200599286222,0.0,0.0,0.5,32,200,0.2096
ScenarioSize64Probes32BestWalkC,18,679805008651456991,0.0,0.0,0.5,32,201,0.2085
ScenarioSize64Probes32BestWalkC,19,2317393341493435360,0.0,0.0,0.5,32,199,0.2107
