Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32GlobalExploreA,1,880879381715801850,1.0,1.0,0.0,32,623,0
ScenarioSize64Probes32GlobalExploreA,2,1726760884372734954,1.0,1.0,0.0,32,627,0
ScenarioSize64Probes32GlobalExploreA,3,4258223208824758363,1.0,1.0,0.0,32,614,0
ScenarioSize64Probes32GlobalExploreA,4,2933576904639372249,1.0,1.0,0.0,32,638,0
ScenarioSize64Probes32GlobalExploreA,5,1619482046725515514,1.0,1.0,0.0,32,632,0
ScenarioSize64Probes32GlobalExploreA,6,8295202924942681088,1.0,1.0,0.0,32,620,0
ScenarioSize64Probes32GlobalExploreA,7,6220178296303381513,1.0,1.0,0.0,32,618,0
ScenarioSize64Probes32GlobalExploreA,8,6524421527956593628,1.0,1.0,0.0,32,653,0
ScenarioSize64Probes32GlobalExploreA,9,1279641774440027009,1.0,1.0,0.0,32,636,0
ScenarioSize64Probes32GlobalExploreA,10,7094737511858396355,1.0,1.0,0.0,32,615,0
ScenarioSize64Probes32GlobalExploreA,11,7842193693029557975,1.0,1.0,0.0,32,628,0
ScenarioSize64Probes32GlobalExploreA,12,2392680491109428476,1.0,1.0,0.0,32,586,0
ScenarioSize64Probes32GlobalExploreA,13,3866198558357324097,1.0,1.0,0.0,32,628,0
ScenarioSize64Probes32GlobalExploreA,14,1395931845597272999,1.0,1.0,0.0,32,602,0
ScenarioSize64Probes32GlobalExploreA,15,2411645404100907887,1.0,1.0,0.0,32,627,0
ScenarioSize64Probes32GlobalExploreA,16,3005318628866213391,1.0,1.0,0.0,32,644,0
ScenarioSize64Probes32GlobalExploreA,17,1188136200599286222,1.0,1.0,0.0,32,584,0
ScenarioSize64Probes32GlobalExploreA,18,679805008651456991,1.0,1.0,0.0,32,613,0
ScenarioSize64Probes32GlobalExploreA,19,2317393341493435360,1.0,1.0,0.0,32,613,0
ScenarioSize64Probes32GlobalExploreA,20,4066160913880139597,1.0,1.0,0.0,32,612,0
