Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32GlobalExploreB,1,880879381715801850,0.0,0.5,0.0,32,239,0
ScenarioSize64Probes32GlobalExploreB,2,1726760884372734954,0.0,0.5,0.0,32,262,0
ScenarioSize64Probes32GlobalExploreB,3,4258223208824758363,0.0,0.5,0.0,32,228,0
ScenarioSize64Probes32GlobalExploreB,4,2933576904639372249,0.0,0.5,0.0,32,230,0
ScenarioSize64Probes32GlobalExploreB,5,1619482046725515514,0.0,0.5,0.0,32,232,0
ScenarioSize64Probes32GlobalExploreB,6,8295202924942681088,0.0,0.5,0.0,32,227,0
ScenarioSize64Probes32GlobalExploreB,7,6220178296303381513,0.0,0.5,0.0,32,230,0
ScenarioSize64Probes32GlobalExploreB,8,6524421527956593628,0.0,0.5,0.0,32,214,0
ScenarioSize64Probes32GlobalExploreB,9,1279641774440027009,0.0,0.5,0.0,32,259,0
ScenarioSize64Probes32GlobalExploreB,10,7094737511858396355,0.0,0.5,0.0,32,242,0
ScenarioSize64Probes32GlobalExploreB,11,7842193693029557975,0.0,0.5,0.0,32,234,0
ScenarioSize64Probes32GlobalExploreB,12,2392680491109428476,0.0,0.5,0.0,32,240,0
ScenarioSize64Probes32GlobalExploreB,13,3866198558357324097,0.0,0.5,0.0,32,228,0
ScenarioSize64Probes32GlobalExploreB,14,1395931845597272999,0.0,0.5,0.0,32,220,0
ScenarioSize64Probes32GlobalExploreB,15,2411645404100907887,0.0,0.5,0.0,32,261,0
ScenarioSize64Probes32GlobalExploreB,16,3005318628866213391,0.0,0.5,0.0,32,241,0
ScenarioSize64Probes32GlobalExploreB,17,1188136200599286222,0.0,0.5,0.0,32,251,0
ScenarioSize64Probes32GlobalExploreB,18,679805008651456991,0.0,0.5,0.0,32,231,0
ScenarioSize64Probes32GlobalExploreB,19,2317393341493435360,0.0,0.5,0.0,32,236,0
ScenarioSize64Probes32GlobalExploreB,20,4066160913880139597,0.0,0.5,0.0,32,232,0
ScenarioSize64Probes32GlobalExploreB,21,880879381715801850,0.0,0.75,0.0,32,312,0
ScenarioSize64Probes32GlobalExploreB,22,1726760884372734954,0.0,0.75,0.0,32,328,0
ScenarioSize64Probes32GlobalExploreB,23,4258223208824758363,0.0,0.75,0.0,32,313,0
ScenarioSize64Probes32GlobalExploreB,24,2933576904639372249,0.0,0.75,0.0,32,301,0
ScenarioSize64Probes32GlobalExploreB,25,1619482046725515514,0.0,0.75,0.0,32,300,0
ScenarioSize64Probes32GlobalExploreB,26,8295202924942681088,0.0,0.75,0.0,32,314,0
ScenarioSize64Probes32GlobalExploreB,27,6220178296303381513,0.0,0.75,0.0,32,319,0
ScenarioSize64Probes32GlobalExploreB,28,6524421527956593628,0.0,0.75,0.0,32,317,0
ScenarioSize64Probes32GlobalExploreB,29,1279641774440027009,0.0,0.75,0.0,32,332,0
ScenarioSize64Probes32GlobalExploreB,30,7094737511858396355,0.0,0.75,0.0,32,325,0
ScenarioSize64Probes32GlobalExploreB,31,7842193693029557975,0.0,0.75,0.0,32,312,0
ScenarioSize64Probes32GlobalExploreB,32,2392680491109428476,0.0,0.75,0.0,32,313,0
ScenarioSize64Probes32GlobalExploreB,33,3866198558357324097,0.0,0.75,0.0,32,306,0
ScenarioSize64Probes32GlobalExploreB,34,1395931845597272999,0.0,0.75,0.0,32,294,0
ScenarioSize64Probes32GlobalExploreB,35,2411645404100907887,0.0,0.75,0.0,32,326,0
ScenarioSize64Probes32GlobalExploreB,36,3005318628866213391,0.0,0.75,0.0,32,323,0
ScenarioSize64Probes32GlobalExploreB,37,1188136200599286222,0.0,0.75,0.0,32,304,0
ScenarioSize64Probes32GlobalExploreB,38,679805008651456991,0.0,0.75,0.0,32,308,0
ScenarioSize64Probes32GlobalExploreB,39,2317393341493435360,0.0,0.75,0.0,32,299,0
ScenarioSize64Probes32GlobalExploreB,40,4066160913880139597,0.0,0.75,0.0,32,327,0
ScenarioSize64Probes32GlobalExploreB,41,880879381715801850,0.0,1.0,0.0,32,400,0
ScenarioSize64Probes32GlobalExploreB,42,1726760884372734954,0.0,1.0,0.0,32,430,0
ScenarioSize64Probes32GlobalExploreB,43,4258223208824758363,0.0,1.0,0.0,32,346,0
ScenarioSize64Probes32GlobalExploreB,44,2933576904639372249,0.0,1.0,0.0,32,387,0
ScenarioSize64Probes32GlobalExploreB,45,1619482046725515514,0.0,1.0,0.0,32,349,0
ScenarioSize64Probes32GlobalExploreB,46,8295202924942681088,0.0,1.0,0.0,32,402,0
ScenarioSize64Probes32GlobalExploreB,47,6220178296303381513,0.0,1.0,0.0,32,373,0
ScenarioSize64Probes32GlobalExploreB,48,6524421527956593628,0.0,1.0,0.0,32,371,0
ScenarioSize64Probes32GlobalExploreB,49,1279641774440027009,0.0,1.0,0.0,32,383,0
ScenarioSize64Probes32GlobalExploreB,50,7094737511858396355,0.0,1.0,0.0,32,343,0
