Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32GlobalExploreC,1,880879381715801850,0.0,0.0,0.5,32,177,0
ScenarioSize64Probes32GlobalExploreC,2,1726760884372734954,0.0,0.0,0.5,32,181,0
ScenarioSize64Probes32GlobalExploreC,3,4258223208824758363,0.0,0.0,0.5,32,168,0
ScenarioSize64Probes32GlobalExploreC,4,2933576904639372249,0.0,0.0,0.5,32,180,0
ScenarioSize64Probes32GlobalExploreC,5,1619482046725515514,0.0,0.0,0.5,32,184,0
ScenarioSize64Probes32GlobalExploreC,6,8295202924942681088,0.0,0.0,0.5,32,191,0
ScenarioSize64Probes32GlobalExploreC,7,6220178296303381513,0.0,0.0,0.5,32,174,0
ScenarioSize64Probes32GlobalExploreC,8,6524421527956593628,0.0,0.0,0.5,32,180,0
ScenarioSize64Probes32GlobalExploreC,9,1279641774440027009,0.0,0.0,0.5,32,180,0
ScenarioSize64Probes32GlobalExploreC,10,7094737511858396355,0.0,0.0,0.5,32,170,0
ScenarioSize64Probes32GlobalExploreC,11,7842193693029557975,0.0,0.0,0.5,32,181,0
ScenarioSize64Probes32GlobalExploreC,12,2392680491109428476,0.0,0.0,0.5,32,178,0
ScenarioSize64Probes32GlobalExploreC,13,3866198558357324097,0.0,0.0,0.5,32,184,0
ScenarioSize64Probes32GlobalExploreC,14,1395931845597272999,0.0,0.0,0.5,32,173,0
ScenarioSize64Probes32GlobalExploreC,15,2411645404100907887,0.0,0.0,0.5,32,192,0
ScenarioSize64Probes32GlobalExploreC,16,3005318628866213391,0.0,0.0,0.5,32,181,0
ScenarioSize64Probes32GlobalExploreC,17,1188136200599286222,0.0,0.0,0.5,32,176,0
ScenarioSize64Probes32GlobalExploreC,18,679805008651456991,0.0,0.0,0.5,32,206,0
ScenarioSize64Probes32GlobalExploreC,19,2317393341493435360,0.0,0.0,0.5,32,184,0
ScenarioSize64Probes32GlobalExploreC,20,4066160913880139597,0.0,0.0,0.5,32,192,0
ScenarioSize64Probes32GlobalExploreC,21,880879381715801850,0.0,0.0,0.75,32,246,0
ScenarioSize64Probes32GlobalExploreC,22,1726760884372734954,0.0,0.0,0.75,32,242,0
ScenarioSize64Probes32GlobalExploreC,23,4258223208824758363,0.0,0.0,0.75,32,221,0
ScenarioSize64Probes32GlobalExploreC,24,2933576904639372249,0.0,0.0,0.75,32,234,0
ScenarioSize64Probes32GlobalExploreC,25,1619482046725515514,0.0,0.0,0.75,32,223,0
ScenarioSize64Probes32GlobalExploreC,26,8295202924942681088,0.0,0.0,0.75,32,236,0
ScenarioSize64Probes32GlobalExploreC,27,6220178296303381513,0.0,0.0,0.75,32,225,0
ScenarioSize64Probes32GlobalExploreC,28,6524421527956593628,0.0,0.0,0.75,32,234,0
ScenarioSize64Probes32GlobalExploreC,29,1279641774440027009,0.0,0.0,0.75,32,227,0
ScenarioSize64Probes32GlobalExploreC,30,7094737511858396355,0.0,0.0,0.75,32,236,0
ScenarioSize64Probes32GlobalExploreC,31,7842193693029557975,0.0,0.0,0.75,32,234,0
ScenarioSize64Probes32GlobalExploreC,32,2392680491109428476,0.0,0.0,0.75,32,211,0
ScenarioSize64Probes32GlobalExploreC,33,3866198558357324097,0.0,0.0,0.75,32,218,0
ScenarioSize64Probes32GlobalExploreC,34,1395931845597272999,0.0,0.0,0.75,32,212,0
ScenarioSize64Probes32GlobalExploreC,35,2411645404100907887,0.0,0.0,0.75,32,222,0
ScenarioSize64Probes32GlobalExploreC,36,3005318628866213391,0.0,0.0,0.75,32,239,0
ScenarioSize64Probes32GlobalExploreC,37,1188136200599286222,0.0,0.0,0.75,32,225,0
ScenarioSize64Probes32GlobalExploreC,38,679805008651456991,0.0,0.0,0.75,32,237,0
ScenarioSize64Probes32GlobalExploreC,39,2317393341493435360,0.0,0.0,0.75,32,229,0
ScenarioSize64Probes32GlobalExploreC,40,4066160913880139597,0.0,0.0,0.75,32,247,0
ScenarioSize64Probes32GlobalExploreC,41,880879381715801850,0.0,0.0,1.0,32,265,0
ScenarioSize64Probes32GlobalExploreC,42,1726760884372734954,0.0,0.0,1.0,32,257,0
ScenarioSize64Probes32GlobalExploreC,43,4258223208824758363,0.0,0.0,1.0,32,266,0
ScenarioSize64Probes32GlobalExploreC,44,2933576904639372249,0.0,0.0,1.0,32,263,0
ScenarioSize64Probes32GlobalExploreC,45,1619482046725515514,0.0,0.0,1.0,32,279,0
ScenarioSize64Probes32GlobalExploreC,46,8295202924942681088,0.0,0.0,1.0,32,275,0
ScenarioSize64Probes32GlobalExploreC,47,6220178296303381513,0.0,0.0,1.0,32,252,0
ScenarioSize64Probes32GlobalExploreC,48,6524421527956593628,0.0,0.0,1.0,32,257,0
ScenarioSize64Probes32GlobalExploreC,49,1279641774440027009,0.0,0.0,1.0,32,276,0
ScenarioSize64Probes32GlobalExploreC,50,7094737511858396355,0.0,0.0,1.0,32,257,0
ScenarioSize64Probes32GlobalExploreC,51,7842193693029557975,0.0,0.0,1.0,32,249,0
ScenarioSize64Probes32GlobalExploreC,52,2392680491109428476,0.0,0.0,1.0,32,267,0
ScenarioSize64Probes32GlobalExploreC,53,3866198558357324097,0.0,0.0,1.0,32,263,0
ScenarioSize64Probes32GlobalExploreC,54,1395931845597272999,0.0,0.0,1.0,32,257,0
ScenarioSize64Probes32GlobalExploreC,55,2411645404100907887,0.0,0.0,1.0,32,271,0
ScenarioSize64Probes32GlobalExploreC,56,3005318628866213391,0.0,0.0,1.0,32,270,0
ScenarioSize64Probes32GlobalExploreC,57,1188136200599286222,0.0,0.0,1.0,32,261,0
ScenarioSize64Probes32GlobalExploreC,58,679805008651456991,0.0,0.0,1.0,32,257,0
ScenarioSize64Probes32GlobalExploreC,59,2317393341493435360,0.0,0.0,1.0,32,260,0
ScenarioSize64Probes32GlobalExploreC,60,4066160913880139597,0.0,0.0,1.0,32,275,0
ScenarioSize64Probes32GlobalExploreC,61,880879381715801850,0.25,0.0,0.5,32,192,0
ScenarioSize64Probes32GlobalExploreC,62,1726760884372734954,0.25,0.0,0.5,32,198,0
ScenarioSize64Probes32GlobalExploreC,63,4258223208824758363,0.25,0.0,0.5,32,198,0
ScenarioSize64Probes32GlobalExploreC,64,2933576904639372249,0.25,0.0,0.5,32,182,0
ScenarioSize64Probes32GlobalExploreC,65,1619482046725515514,0.25,0.0,0.5,32,194,0
ScenarioSize64Probes32GlobalExploreC,66,8295202924942681088,0.25,0.0,0.5,32,200,0
ScenarioSize64Probes32GlobalExploreC,67,6220178296303381513,0.25,0.0,0.5,32,187,0
ScenarioSize64Probes32GlobalExploreC,68,6524421527956593628,0.25,0.0,0.5,32,192,0
ScenarioSize64Probes32GlobalExploreC,69,1279641774440027009,0.25,0.0,0.5,32,196,0
ScenarioSize64Probes32GlobalExploreC,70,7094737511858396355,0.25,0.0,0.5,32,177,0
ScenarioSize64Probes32GlobalExploreC,71,7842193693029557975,0.25,0.0,0.5,32,188,0
ScenarioSize64Probes32GlobalExploreC,72,2392680491109428476,0.25,0.0,0.5,32,187,0
ScenarioSize64Probes32GlobalExploreC,73,3866198558357324097,0.25,0.0,0.5,32,195,0
ScenarioSize64Probes32GlobalExploreC,74,1395931845597272999,0.25,0.0,0.5,32,197,0
ScenarioSize64Probes32GlobalExploreC,75,2411645404100907887,0.25,0.0,0.5,32,157,0
ScenarioSize64Probes32GlobalExploreC,76,3005318628866213391,0.25,0.0,0.5,32,179,0
ScenarioSize64Probes32GlobalExploreC,77,1188136200599286222,0.25,0.0,0.5,32,199,0
ScenarioSize64Probes32GlobalExploreC,78,679805008651456991,0.25,0.0,0.5,32,189,0
ScenarioSize64Probes32GlobalExploreC,79,2317393341493435360,0.25,0.0,0.5,32,184,0
ScenarioSize64Probes32GlobalExploreC,80,4066160913880139597,0.25,0.0,0.5,32,188,0
ScenarioSize64Probes32GlobalExploreC,81,880879381715801850,0.25,0.0,0.75,32,250,0
ScenarioSize64Probes32GlobalExploreC,82,1726760884372734954,0.25,0.0,0.75,32,254,0
ScenarioSize64Probes32GlobalExploreC,83,4258223208824758363,0.25,0.0,0.75,32,225,0
ScenarioSize64Probes32GlobalExploreC,84,2933576904639372249,0.25,0.0,0.75,32,244,0
ScenarioSize64Probes32GlobalExploreC,85,1619482046725515514,0.25,0.0,0.75,32,224,0
ScenarioSize64Probes32GlobalExploreC,86,8295202924942681088,0.25,0.0,0.75,32,241,0
ScenarioSize64Probes32GlobalExploreC,87,6220178296303381513,0.25,0.0,0.75,32,219,0
