Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,0.0,0,0,0,0,0,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,20.0,0,0,0,0,0,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,40.0,0,1,0,0,1,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,60.0,0,1,0,0,1,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,80.0,0,3,0,0,2,1,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,100.0,0,3,0,0,2,1,0,1,0.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,120.0,0,6,0,0,5,1,0,1,0.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,140.0,0,9,0,0,8,1,1,2,1.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,160.0,0,9,0,0,8,1,3,3,3.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,180.0,0,11,0,0,9,2,3,3,3.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,200.0,0,12,0,0,10,2,3,4,3.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,220.0,0,12,0,0,10,2,3,5,3.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,240.0,0,15,0,0,12,3,3,6,3.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,260.0,0,17,0,0,13,4,4,6,4.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,280.0,0,18,0,0,14,4,4,6,4.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,300.0,0,18,0,0,14,4,4,6,4.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,320.0,0,18,0,0,14,4,6,7,6.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,340.0,0,20,0,0,15,5,6,7,6.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,360.0,0,22,0,0,16,6,8,7,8.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,380.0,0,23,0,0,16,7,8,7,8.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,400.0,0,23,0,0,16,7,8,8,8.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,420.0,0,23,0,0,16,7,8,8,8.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,440.0,0,23,0,0,16,7,8,8,8.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,460.0,0,24,0,0,16,8,8,8,8.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,480.0,0,25,0,0,16,9,8,8,8.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,500.0,0,26,0,0,17,9,8,8,8.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,520.0,0,26,0,0,17,9,8,8,8.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,540.0,0,28,0,0,19,9,8,8,8.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,560.0,0,28,0,0,19,9,9,8,9.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,580.0,0,30,0,0,20,10,9,8,9.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,600.0,0,30,0,0,20,10,9,9,9.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,620.0,0,31,0,0,21,10,9,9,9.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,640.0,0,32,0,0,22,10,9,10,9.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,660.0,0,32,0,0,22,10,9,10,9.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,680.0,0,34,0,0,23,11,9,10,9.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,700.0,0,35,0,0,24,11,9,10,9.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,720.0,0,35,0,0,24,11,10,10,10.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,740.0,0,36,0,0,24,12,10,10,10.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,760.0,0,38,0,0,26,12,11,10,11.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,780.0,0,38,0,0,26,12,11,11,11.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,800.0,0,38,0,0,26,12,11,11,11.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,820.0,0,39,0,0,27,12,12,12,12.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,840.0,0,41,0,0,28,13,12,12,12.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,860.0,0,41,0,0,28,13,13,12,13.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,880.0,0,41,0,0,28,13,14,12,14.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,900.0,0,44,0,0,31,13,15,13,15.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,920.0,0,46,0,0,33,13,15,14,15.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,940.0,0,48,0,0,34,14,15,14,15.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,960.0,0,48,0,0,34,14,15,15,15.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,980.0,0,49,0,0,35,14,15,16,15.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1000.0,0,50,0,0,36,14,15,16,15.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1020.0,0,50,0,0,36,14,16,16,16.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1040.0,0,53,0,0,39,14,18,17,18.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1060.0,0,53,0,0,39,14,18,17,18.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1080.0,0,53,0,0,39,14,19,17,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1100.0,0,53,0,0,39,14,19,19,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1120.0,0,54,0,0,40,14,19,19,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1140.0,0,54,0,0,40,14,19,19,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1160.0,0,54,0,0,40,14,19,19,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1180.0,0,54,0,0,40,14,19,19,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1200.0,0,54,0,0,40,14,19,20,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1220.0,0,55,0,0,41,14,19,21,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1240.0,0,56,0,0,41,15,19,21,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1260.0,0,56,0,0,41,15,19,21,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1280.0,0,57,0,0,42,15,19,21,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1300.0,0,57,0,0,42,15,19,21,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1320.0,0,58,0,0,42,16,19,21,19.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1340.0,0,58,0,0,42,16,20,21,20.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1360.0,0,58,0,0,42,16,20,21,20.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1380.0,0,61,0,0,45,16,20,21,20.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1400.0,0,62,0,0,46,16,21,21,21.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1420.0,0,62,0,0,46,16,22,21,22.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1440.0,0,64,0,0,48,16,22,21,22.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1460.0,0,65,0,0,49,16,22,21,22.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1480.0,0,65,0,0,49,16,23,21,23.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1500.0,0,66,0,0,50,16,25,21,25.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1520.0,0,66,0,0,50,16,25,22,25.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1540.0,0,68,0,0,51,17,25,22,25.0,0.0
