Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32QuadSmgB,1,880879381715801850,0.0,0.5,0.0,32,237,0.258
ScenarioSize64Probes32QuadSmgB,2,1726760884372734954,0.0,0.5,0.0,32,239,0.2545
ScenarioSize64Probes32QuadSmgB,3,4258223208824758363,0.0,0.5,0.0,32,217,0.2582
ScenarioSize64Probes32QuadSmgB,4,2933576904639372249,0.0,0.5,0.0,32,209,0.25
ScenarioSize64Probes32QuadSmgB,5,1619482046725515514,0.0,0.5,0.0,32,214,0.2559
ScenarioSize64Probes32QuadSmgB,6,8295202924942681088,0.0,0.5,0.0,32,218,0.2556
ScenarioSize64Probes32QuadSmgB,7,6220178296303381513,0.0,0.5,0.0,32,249,0.2518
ScenarioSize64Probes32QuadSmgB,8,6524421527956593628,0.0,0.5,0.0,32,222,0.2528
ScenarioSize64Probes32QuadSmgB,9,1279641774440027009,0.0,0.5,0.0,32,243,0.2538
ScenarioSize64Probes32QuadSmgB,10,7094737511858396355,0.0,0.5,0.0,32,251,0.2571
ScenarioSize64Probes32QuadSmgB,11,7842193693029557975,0.0,0.5,0.0,32,214,0.2537
ScenarioSize64Probes32QuadSmgB,12,2392680491109428476,0.0,0.5,0.0,32,241,0.2534
ScenarioSize64Probes32QuadSmgB,13,3866198558357324097,0.0,0.5,0.0,32,238,0.2528
ScenarioSize64Probes32QuadSmgB,14,1395931845597272999,0.0,0.5,0.0,32,199,0.2556
ScenarioSize64Probes32QuadSmgB,15,2411645404100907887,0.0,0.5,0.0,32,232,0.2535
ScenarioSize64Probes32QuadSmgB,16,3005318628866213391,0.0,0.5,0.0,32,255,0.2527
ScenarioSize64Probes32QuadSmgB,17,1188136200599286222,0.0,0.5,0.0,32,251,0.2552
ScenarioSize64Probes32QuadSmgB,18,679805008651456991,0.0,0.5,0.0,32,235,0.258
ScenarioSize64Probes32QuadSmgB,19,2317393341493435360,0.0,0.5,0.0,32,239,0.2549
ScenarioSize64Probes32QuadSmgB,20,4066160913880139597,0.0,0.5,0.0,32,219,0.251
ScenarioSize64Probes32QuadSmgB,21,880879381715801850,0.0,0.75,0.0,32,313,0.3862
