Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32QuadSmgC,1,880879381715801850,0.0,0.0,0.5,32,185,0.2025
ScenarioSize64Probes32QuadSmgC,2,1726760884372734954,0.0,0.0,0.5,32,180,0.2123
ScenarioSize64Probes32QuadSmgC,3,4258223208824758363,0.0,0.0,0.5,32,176,0.2066
ScenarioSize64Probes32QuadSmgC,4,2933576904639372249,0.0,0.0,0.5,32,186,0.2056
ScenarioSize64Probes32QuadSmgC,5,1619482046725515514,0.0,0.0,0.5,32,182,0.2068
ScenarioSize64Probes32QuadSmgC,6,8295202924942681088,0.0,0.0,0.5,32,194,0.2039
ScenarioSize64Probes32QuadSmgC,7,6220178296303381513,0.0,0.0,0.5,32,178,0.2069
ScenarioSize64Probes32QuadSmgC,8,6524421527956593628,0.0,0.0,0.5,32,179,0.2076
ScenarioSize64Probes32QuadSmgC,9,1279641774440027009,0.0,0.0,0.5,32,192,0.2059
ScenarioSize64Probes32QuadSmgC,10,7094737511858396355,0.0,0.0,0.5,32,178,0.2095
ScenarioSize64Probes32QuadSmgC,11,7842193693029557975,0.0,0.0,0.5,32,188,0.2031
ScenarioSize64Probes32QuadSmgC,12,2392680491109428476,0.0,0.0,0.5,32,189,0.2044
ScenarioSize64Probes32QuadSmgC,13,3866198558357324097,0.0,0.0,0.5,32,181,0.2059
ScenarioSize64Probes32QuadSmgC,14,1395931845597272999,0.0,0.0,0.5,32,172,0.2071
ScenarioSize64Probes32QuadSmgC,15,2411645404100907887,0.0,0.0,0.5,32,187,0.2018
ScenarioSize64Probes32QuadSmgC,16,3005318628866213391,0.0,0.0,0.5,32,187,0.2013
ScenarioSize64Probes32QuadSmgC,17,1188136200599286222,0.0,0.0,0.5,32,185,0.2049
ScenarioSize64Probes32QuadSmgC,18,679805008651456991,0.0,0.0,0.5,32,200,0.203
ScenarioSize64Probes32QuadSmgC,19,2317393341493435360,0.0,0.0,0.5,32,171,0.2073
ScenarioSize64Probes32QuadSmgC,20,4066160913880139597,0.0,0.0,0.5,32,201,0.2022
ScenarioSize64Probes32QuadSmgC,21,880879381715801850,0.0,0.0,0.75,32,256,0.2884
ScenarioSize64Probes32QuadSmgC,22,1726760884372734954,0.0,0.0,0.75,32,255,0.2846
ScenarioSize64Probes32QuadSmgC,23,4258223208824758363,0.0,0.0,0.75,32,235,0.2898
ScenarioSize64Probes32QuadSmgC,24,2933576904639372249,0.0,0.0,0.75,32,234,0.2923
ScenarioSize64Probes32QuadSmgC,25,1619482046725515514,0.0,0.0,0.75,32,251,0.2912
ScenarioSize64Probes32QuadSmgC,26,8295202924942681088,0.0,0.0,0.75,32,244,0.2899
ScenarioSize64Probes32QuadSmgC,27,6220178296303381513,0.0,0.0,0.75,32,255,0.2858
ScenarioSize64Probes32QuadSmgC,28,6524421527956593628,0.0,0.0,0.75,32,223,0.2969
ScenarioSize64Probes32QuadSmgC,29,1279641774440027009,0.0,0.0,0.75,32,238,0.2895
ScenarioSize64Probes32QuadSmgC,30,7094737511858396355,0.0,0.0,0.75,32,226,0.2904
ScenarioSize64Probes32QuadSmgC,31,7842193693029557975,0.0,0.0,0.75,32,263,0.2829
ScenarioSize64Probes32QuadSmgC,32,2392680491109428476,0.0,0.0,0.75,32,252,0.2898
ScenarioSize64Probes32QuadSmgC,33,3866198558357324097,0.0,0.0,0.75,32,238,0.29
ScenarioSize64Probes32QuadSmgC,34,1395931845597272999,0.0,0.0,0.75,32,234,0.2892
ScenarioSize64Probes32QuadSmgC,35,2411645404100907887,0.0,0.0,0.75,32,222,0.2915
ScenarioSize64Probes32QuadSmgC,36,3005318628866213391,0.0,0.0,0.75,32,244,0.2854
ScenarioSize64Probes32QuadSmgC,37,1188136200599286222,0.0,0.0,0.75,32,234,0.2943
ScenarioSize64Probes32QuadSmgC,38,679805008651456991,0.0,0.0,0.75,32,258,0.2878
ScenarioSize64Probes32QuadSmgC,39,2317393341493435360,0.0,0.0,0.75,32,244,0.2957
ScenarioSize64Probes32QuadSmgC,40,4066160913880139597,0.0,0.0,0.75,32,256,0.2892
ScenarioSize64Probes32QuadSmgC,41,880879381715801850,0.0,0.0,1.0,32,282,0.4077
ScenarioSize64Probes32QuadSmgC,42,1726760884372734954,0.0,0.0,1.0,32,288,0.4038
ScenarioSize64Probes32QuadSmgC,43,4258223208824758363,0.0,0.0,1.0,32,285,0.4158
ScenarioSize64Probes32QuadSmgC,44,2933576904639372249,0.0,0.0,1.0,32,278,0.425
ScenarioSize64Probes32QuadSmgC,45,1619482046725515514,0.0,0.0,1.0,32,284,0.4084
ScenarioSize64Probes32QuadSmgC,46,8295202924942681088,0.0,0.0,1.0,32,294,0.408
ScenarioSize64Probes32QuadSmgC,47,6220178296303381513,0.0,0.0,1.0,32,276,0.4114
ScenarioSize64Probes32QuadSmgC,48,6524421527956593628,0.0,0.0,1.0,32,283,0.4021
ScenarioSize64Probes32QuadSmgC,49,1279641774440027009,0.0,0.0,1.0,32,292,0.3994
ScenarioSize64Probes32QuadSmgC,50,7094737511858396355,0.0,0.0,1.0,32,286,0.408
ScenarioSize64Probes32QuadSmgC,51,7842193693029557975,0.0,0.0,1.0,32,285,0.4094
ScenarioSize64Probes32QuadSmgC,52,2392680491109428476,0.0,0.0,1.0,32,287,0.4111
ScenarioSize64Probes32QuadSmgC,53,3866198558357324097,0.0,0.0,1.0,32,291,0.4077
ScenarioSize64Probes32QuadSmgC,54,1395931845597272999,0.0,0.0,1.0,32,280,0.4089
ScenarioSize64Probes32QuadSmgC,55,2411645404100907887,0.0,0.0,1.0,32,281,0.4165
ScenarioSize64Probes32QuadSmgC,56,3005318628866213391,0.0,0.0,1.0,32,294,0.4038
ScenarioSize64Probes32QuadSmgC,57,1188136200599286222,0.0,0.0,1.0,32,293,0.407
ScenarioSize64Probes32QuadSmgC,58,679805008651456991,0.0,0.0,1.0,32,282,0.3999
ScenarioSize64Probes32QuadSmgC,59,2317393341493435360,0.0,0.0,1.0,32,287,0.4084
ScenarioSize64Probes32QuadSmgC,60,4066160913880139597,0.0,0.0,1.0,32,284,0.4124
ScenarioSize64Probes32QuadSmgC,61,880879381715801850,0.25,0.0,0.5,32,184,0.2045
ScenarioSize64Probes32QuadSmgC,62,1726760884372734954,0.25,0.0,0.5,32,172,0.2075
ScenarioSize64Probes32QuadSmgC,63,4258223208824758363,0.25,0.0,0.5,32,189,0.2024
ScenarioSize64Probes32QuadSmgC,64,2933576904639372249,0.25,0.0,0.5,32,189,0.2015
ScenarioSize64Probes32QuadSmgC,65,1619482046725515514,0.25,0.0,0.5,32,195,0.1999
ScenarioSize64Probes32QuadSmgC,66,8295202924942681088,0.25,0.0,0.5,32,200,0.2012
ScenarioSize64Probes32QuadSmgC,67,6220178296303381513,0.25,0.0,0.5,32,173,0.206
ScenarioSize64Probes32QuadSmgC,68,6524421527956593628,0.25,0.0,0.5,32,191,0.2032
ScenarioSize64Probes32QuadSmgC,69,1279641774440027009,0.25,0.0,0.5,32,196,0.2064
ScenarioSize64Probes32QuadSmgC,70,7094737511858396355,0.25,0.0,0.5,32,179,0.2038
ScenarioSize64Probes32QuadSmgC,71,7842193693029557975,0.25,0.0,0.5,32,190,0.2041
ScenarioSize64Probes32QuadSmgC,72,2392680491109428476,0.25,0.0,0.5,32,179,0.207
ScenarioSize64Probes32QuadSmgC,73,3866198558357324097,0.25,0.0,0.5,32,153,0.2171
ScenarioSize64Probes32QuadSmgC,74,1395931845597272999,0.25,0.0,0.5,32,200,0.2017
ScenarioSize64Probes32QuadSmgC,75,2411645404100907887,0.25,0.0,0.5,32,194,0.2076
ScenarioSize64Probes32QuadSmgC,76,3005318628866213391,0.25,0.0,0.5,32,176,0.2073
ScenarioSize64Probes32QuadSmgC,77,1188136200599286222,0.25,0.0,0.5,32,172,0.2122
ScenarioSize64Probes32QuadSmgC,78,679805008651456991,0.25,0.0,0.5,32,191,0.1984
ScenarioSize64Probes32QuadSmgC,79,2317393341493435360,0.25,0.0,0.5,32,192,0.2025
ScenarioSize64Probes32QuadSmgC,80,4066160913880139597,0.25,0.0,0.5,32,195,0.2054
ScenarioSize64Probes32QuadSmgC,81,880879381715801850,0.25,0.0,0.75,32,263,0.2867
ScenarioSize64Probes32QuadSmgC,82,1726760884372734954,0.25,0.0,0.75,32,249,0.285
ScenarioSize64Probes32QuadSmgC,83,4258223208824758363,0.25,0.0,0.75,32,235,0.2967
ScenarioSize64Probes32QuadSmgC,84,2933576904639372249,0.25,0.0,0.75,32,262,0.2856
ScenarioSize64Probes32QuadSmgC,85,1619482046725515514,0.25,0.0,0.75,32,251,0.2836
ScenarioSize64Probes32QuadSmgC,86,8295202924942681088,0.25,0.0,0.75,32,231,0.3003
ScenarioSize64Probes32QuadSmgC,87,6220178296303381513,0.25,0.0,0.75,32,245,0.294
ScenarioSize64Probes32QuadSmgC,88,6524421527956593628,0.25,0.0,0.75,32,244,0.2818
ScenarioSize64Probes32QuadSmgC,89,1279641774440027009,0.25,0.0,0.75,32,218,0.2958
ScenarioSize64Probes32QuadSmgC,90,7094737511858396355,0.25,0.0,0.75,32,244,0.2897
ScenarioSize64Probes32QuadSmgC,91,7842193693029557975,0.25,0.0,0.75,32,230,0.2905
ScenarioSize64Probes32QuadSmgC,92,2392680491109428476,0.25,0.0,0.75,32,248,0.281
ScenarioSize64Probes32QuadSmgC,93,3866198558357324097,0.25,0.0,0.75,32,247,0.2857
ScenarioSize64Probes32QuadSmgC,94,1395931845597272999,0.25,0.0,0.75,32,235,0.292
ScenarioSize64Probes32QuadSmgC,95,2411645404100907887,0.25,0.0,0.75,32,241,0.2924
ScenarioSize64Probes32QuadSmgC,96,3005318628866213391,0.25,0.0,0.75,32,230,0.2937
ScenarioSize64Probes32QuadSmgC,97,1188136200599286222,0.25,0.0,0.75,32,234,0.2917
ScenarioSize64Probes32QuadSmgC,98,679805008651456991,0.25,0.0,0.75,32,236,0.2849
ScenarioSize64Probes32QuadSmgC,99,2317393341493435360,0.25,0.0,0.75,32,242,0.288
ScenarioSize64Probes32QuadSmgC,100,4066160913880139597,0.25,0.0,0.75,32,243,0.2926
ScenarioSize64Probes32QuadSmgC,101,880879381715801850,0.25,0.0,1.0,32,291,0.4124
ScenarioSize64Probes32QuadSmgC,102,1726760884372734954,0.25,0.0,1.0,32,285,0.4048
ScenarioSize64Probes32QuadSmgC,103,4258223208824758363,0.25,0.0,1.0,32,279,0.4111
ScenarioSize64Probes32QuadSmgC,104,2933576904639372249,0.25,0.0,1.0,32,315,0.397
ScenarioSize64Probes32QuadSmgC,105,1619482046725515514,0.25,0.0,1.0,32,294,0.4063
ScenarioSize64Probes32QuadSmgC,106,8295202924942681088,0.25,0.0,1.0,32,300,0.4009
ScenarioSize64Probes32QuadSmgC,107,6220178296303381513,0.25,0.0,1.0,32,302,0.3914
ScenarioSize64Probes32QuadSmgC,108,6524421527956593628,0.25,0.0,1.0,32,291,0.4119
ScenarioSize64Probes32QuadSmgC,109,1279641774440027009,0.25,0.0,1.0,32,288,0.4019
ScenarioSize64Probes32QuadSmgC,110,7094737511858396355,0.25,0.0,1.0,32,301,0.4016
ScenarioSize64Probes32QuadSmgC,111,7842193693029557975,0.25,0.0,1.0,32,308,0.3904
ScenarioSize64Probes32QuadSmgC,112,2392680491109428476,0.25,0.0,1.0,32,304,0.3911
ScenarioSize64Probes32QuadSmgC,113,3866198558357324097,0.25,0.0,1.0,32,295,0.3992
ScenarioSize64Probes32QuadSmgC,114,1395931845597272999,0.25,0.0,1.0,32,275,0.4089
ScenarioSize64Probes32QuadSmgC,115,2411645404100907887,0.25,0.0,1.0,32,273,0.4131
ScenarioSize64Probes32QuadSmgC,116,3005318628866213391,0.25,0.0,1.0,32,301,0.4031
ScenarioSize64Probes32QuadSmgC,117,1188136200599286222,0.25,0.0,1.0,32,284,0.4084
ScenarioSize64Probes32QuadSmgC,118,679805008651456991,0.25,0.0,1.0,32,285,0.4121
ScenarioSize64Probes32QuadSmgC,119,2317393341493435360,0.25,0.0,1.0,32,302,0.4055
ScenarioSize64Probes32QuadSmgC,120,4066160913880139597,0.25,0.0,1.0,32,278,0.4121
ScenarioSize64Probes32QuadSmgC,121,880879381715801850,0.5,0.0,0.5,32,180,0.2058
ScenarioSize64Probes32QuadSmgC,122,1726760884372734954,0.5,0.0,0.5,32,188,0.2021
ScenarioSize64Probes32QuadSmgC,123,4258223208824758363,0.5,0.0,0.5,32,185,0.2056
ScenarioSize64Probes32QuadSmgC,124,2933576904639372249,0.5,0.0,0.5,32,202,0.2019
ScenarioSize64Probes32QuadSmgC,125,1619482046725515514,0.5,0.0,0.5,32,191,0.2021
ScenarioSize64Probes32QuadSmgC,126,8295202924942681088,0.5,0.0,0.5,32,186,0.2023
ScenarioSize64Probes32QuadSmgC,127,6220178296303381513,0.5,0.0,0.5,32,181,0.2059
ScenarioSize64Probes32QuadSmgC,128,6524421527956593628,0.5,0.0,0.5,32,173,0.2092
ScenarioSize64Probes32QuadSmgC,129,1279641774440027009,0.5,0.0,0.5,32,190,0.2027
ScenarioSize64Probes32QuadSmgC,130,7094737511858396355,0.5,0.0,0.5,32,187,0.205
ScenarioSize64Probes32QuadSmgC,131,7842193693029557975,0.5,0.0,0.5,32,179,0.2035
ScenarioSize64Probes32QuadSmgC,132,2392680491109428476,0.5,0.0,0.5,32,189,0.2065
ScenarioSize64Probes32QuadSmgC,133,3866198558357324097,0.5,0.0,0.5,32,184,0.2108
ScenarioSize64Probes32QuadSmgC,134,1395931845597272999,0.5,0.0,0.5,32,208,0.2019
ScenarioSize64Probes32QuadSmgC,135,2411645404100907887,0.5,0.0,0.5,32,207,0.2007
ScenarioSize64Probes32QuadSmgC,136,3005318628866213391,0.5,0.0,0.5,32,191,0.2012
ScenarioSize64Probes32QuadSmgC,137,1188136200599286222,0.5,0.0,0.5,32,187,0.2034
ScenarioSize64Probes32QuadSmgC,138,679805008651456991,0.5,0.0,0.5,32,196,0.2033
ScenarioSize64Probes32QuadSmgC,139,2317393341493435360,0.5,0.0,0.5,32,204,0.1951
ScenarioSize64Probes32QuadSmgC,140,4066160913880139597,0.5,0.0,0.5,32,188,0.2068
ScenarioSize64Probes32QuadSmgC,141,880879381715801850,0.5,0.0,0.75,32,245,0.2901
ScenarioSize64Probes32QuadSmgC,142,1726760884372734954,0.5,0.0,0.75,32,264,0.2808
ScenarioSize64Probes32QuadSmgC,143,4258223208824758363,0.5,0.0,0.75,32,242,0.2931
ScenarioSize64Probes32QuadSmgC,144,2933576904639372249,0.5,0.0,0.75,32,253,0.2901
ScenarioSize64Probes32QuadSmgC,145,1619482046725515514,0.5,0.0,0.75,32,242,0.2892
ScenarioSize64Probes32QuadSmgC,146,8295202924942681088,0.5,0.0,0.75,32,242,0.2869
ScenarioSize64Probes32QuadSmgC,147,6220178296303381513,0.5,0.0,0.75,32,262,0.2858
ScenarioSize64Probes32QuadSmgC,148,6524421527956593628,0.5,0.0,0.75,32,243,0.2888
ScenarioSize64Probes32QuadSmgC,149,1279641774440027009,0.5,0.0,0.75,32,240,0.2932
ScenarioSize64Probes32QuadSmgC,150,7094737511858396355,0.5,0.0,0.75,32,258,0.2791
ScenarioSize64Probes32QuadSmgC,151,7842193693029557975,0.5,0.0,0.75,32,258,0.2851
ScenarioSize64Probes32QuadSmgC,152,2392680491109428476,0.5,0.0,0.75,32,233,0.2897
ScenarioSize64Probes32QuadSmgC,153,3866198558357324097,0.5,0.0,0.75,32,254,0.2899
ScenarioSize64Probes32QuadSmgC,154,1395931845597272999,0.5,0.0,0.75,32,242,0.2894
ScenarioSize64Probes32QuadSmgC,155,2411645404100907887,0.5,0.0,0.75,32,239,0.2975
ScenarioSize64Probes32QuadSmgC,156,3005318628866213391,0.5,0.0,0.75,32,240,0.2907
