Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32RandomWalkB,1,880879381715801850,0.0,0.5,0.0,32,139,0
ScenarioSize64Probes32RandomWalkB,2,1726760884372734954,0.0,0.5,0.0,32,157,0
ScenarioSize64Probes32RandomWalkB,3,4258223208824758363,0.0,0.5,0.0,32,100,0
ScenarioSize64Probes32RandomWalkB,4,2933576904639372249,0.0,0.5,0.0,32,104,0
ScenarioSize64Probes32RandomWalkB,5,1619482046725515514,0.0,0.5,0.0,32,119,0
ScenarioSize64Probes32RandomWalkB,6,8295202924942681088,0.0,0.5,0.0,32,116,0
ScenarioSize64Probes32RandomWalkB,7,6220178296303381513,0.0,0.5,0.0,32,105,0
ScenarioSize64Probes32RandomWalkB,8,6524421527956593628,0.0,0.5,0.0,32,114,0
ScenarioSize64Probes32RandomWalkB,9,1279641774440027009,0.0,0.5,0.0,32,125,0
ScenarioSize64Probes32RandomWalkB,10,7094737511858396355,0.0,0.5,0.0,32,111,0
ScenarioSize64Probes32RandomWalkB,11,7842193693029557975,0.0,0.5,0.0,32,121,0
ScenarioSize64Probes32RandomWalkB,12,2392680491109428476,0.0,0.5,0.0,32,100,0
ScenarioSize64Probes32RandomWalkB,13,3866198558357324097,0.0,0.5,0.0,32,127,0
ScenarioSize64Probes32RandomWalkB,14,1395931845597272999,0.0,0.5,0.0,32,81,0
ScenarioSize64Probes32RandomWalkB,15,2411645404100907887,0.0,0.5,0.0,32,123,0
ScenarioSize64Probes32RandomWalkB,16,3005318628866213391,0.0,0.5,0.0,32,146,0
ScenarioSize64Probes32RandomWalkB,17,1188136200599286222,0.0,0.5,0.0,32,98,0
ScenarioSize64Probes32RandomWalkB,18,679805008651456991,0.0,0.5,0.0,32,118,0
ScenarioSize64Probes32RandomWalkB,19,2317393341493435360,0.0,0.5,0.0,32,102,0
ScenarioSize64Probes32RandomWalkB,20,4066160913880139597,0.0,0.5,0.0,32,119,0
ScenarioSize64Probes32RandomWalkB,21,880879381715801850,0.0,0.75,0.0,32,137,0
ScenarioSize64Probes32RandomWalkB,22,1726760884372734954,0.0,0.75,0.0,32,153,0
ScenarioSize64Probes32RandomWalkB,23,4258223208824758363,0.0,0.75,0.0,32,126,0
ScenarioSize64Probes32RandomWalkB,24,2933576904639372249,0.0,0.75,0.0,32,134,0
ScenarioSize64Probes32RandomWalkB,25,1619482046725515514,0.0,0.75,0.0,32,138,0
ScenarioSize64Probes32RandomWalkB,26,8295202924942681088,0.0,0.75,0.0,32,159,0
ScenarioSize64Probes32RandomWalkB,27,6220178296303381513,0.0,0.75,0.0,32,118,0
ScenarioSize64Probes32RandomWalkB,28,6524421527956593628,0.0,0.75,0.0,32,127,0
ScenarioSize64Probes32RandomWalkB,29,1279641774440027009,0.0,0.75,0.0,32,138,0
ScenarioSize64Probes32RandomWalkB,30,7094737511858396355,0.0,0.75,0.0,32,108,0
ScenarioSize64Probes32RandomWalkB,31,7842193693029557975,0.0,0.75,0.0,32,151,0
ScenarioSize64Probes32RandomWalkB,32,2392680491109428476,0.0,0.75,0.0,32,157,0
ScenarioSize64Probes32RandomWalkB,33,3866198558357324097,0.0,0.75,0.0,32,138,0
ScenarioSize64Probes32RandomWalkB,34,1395931845597272999,0.0,0.75,0.0,32,108,0
ScenarioSize64Probes32RandomWalkB,35,2411645404100907887,0.0,0.75,0.0,32,135,0
