Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32SmgWalkB,1,880879381715801850,0.0,0.5,0.0,32,206,0.2071
ScenarioSize64Probes32SmgWalkB,2,1726760884372734954,0.0,0.5,0.0,32,184,0.2017
ScenarioSize64Probes32SmgWalkB,3,4258223208824758363,0.0,0.5,0.0,32,182,0.1981
ScenarioSize64Probes32SmgWalkB,4,2933576904639372249,0.0,0.5,0.0,32,187,0.1998
ScenarioSize64Probes32SmgWalkB,5,1619482046725515514,0.0,0.5,0.0,32,186,0.1933
ScenarioSize64Probes32SmgWalkB,6,8295202924942681088,0.0,0.5,0.0,32,190,0.2033
ScenarioSize64Probes32SmgWalkB,7,6220178296303381513,0.0,0.5,0.0,32,174,0.2001
ScenarioSize64Probes32SmgWalkB,8,6524421527956593628,0.0,0.5,0.0,32,199,0.2055
ScenarioSize64Probes32SmgWalkB,9,1279641774440027009,0.0,0.5,0.0,32,183,0.1968
ScenarioSize64Probes32SmgWalkB,10,7094737511858396355,0.0,0.5,0.0,32,180,0.199
ScenarioSize64Probes32SmgWalkB,11,7842193693029557975,0.0,0.5,0.0,32,193,0.1981
ScenarioSize64Probes32SmgWalkB,12,2392680491109428476,0.0,0.5,0.0,32,172,0.2079
ScenarioSize64Probes32SmgWalkB,13,3866198558357324097,0.0,0.5,0.0,32,187,0.2062
ScenarioSize64Probes32SmgWalkB,14,1395931845597272999,0.0,0.5,0.0,32,157,0.2037
ScenarioSize64Probes32SmgWalkB,15,2411645404100907887,0.0,0.5,0.0,32,192,0.1989
ScenarioSize64Probes32SmgWalkB,16,3005318628866213391,0.0,0.5,0.0,32,189,0.2019
ScenarioSize64Probes32SmgWalkB,17,1188136200599286222,0.0,0.5,0.0,32,187,0.2075
ScenarioSize64Probes32SmgWalkB,18,679805008651456991,0.0,0.5,0.0,32,200,0.2124
ScenarioSize64Probes32SmgWalkB,19,2317393341493435360,0.0,0.5,0.0,32,161,0.1906
ScenarioSize64Probes32SmgWalkB,20,4066160913880139597,0.0,0.5,0.0,32,204,0.197
ScenarioSize64Probes32SmgWalkB,21,880879381715801850,0.0,0.75,0.0,32,254,0.31
ScenarioSize64Probes32SmgWalkB,22,1726760884372734954,0.0,0.75,0.0,32,260,0.2982
ScenarioSize64Probes32SmgWalkB,23,4258223208824758363,0.0,0.75,0.0,32,245,0.2972
ScenarioSize64Probes32SmgWalkB,24,2933576904639372249,0.0,0.75,0.0,32,235,0.3013
ScenarioSize64Probes32SmgWalkB,25,1619482046725515514,0.0,0.75,0.0,32,269,0.3128
ScenarioSize64Probes32SmgWalkB,26,8295202924942681088,0.0,0.75,0.0,32,249,0.2997
ScenarioSize64Probes32SmgWalkB,27,6220178296303381513,0.0,0.75,0.0,32,247,0.3213
ScenarioSize64Probes32SmgWalkB,28,6524421527956593628,0.0,0.75,0.0,32,254,0.2994
ScenarioSize64Probes32SmgWalkB,29,1279641774440027009,0.0,0.75,0.0,32,252,0.2989
ScenarioSize64Probes32SmgWalkB,30,7094737511858396355,0.0,0.75,0.0,32,237,0.3041
ScenarioSize64Probes32SmgWalkB,31,7842193693029557975,0.0,0.75,0.0,32,255,0.2952
ScenarioSize64Probes32SmgWalkB,32,2392680491109428476,0.0,0.75,0.0,32,253,0.3174
ScenarioSize64Probes32SmgWalkB,33,3866198558357324097,0.0,0.75,0.0,32,249,0.3043
ScenarioSize64Probes32SmgWalkB,34,1395931845597272999,0.0,0.75,0.0,32,230,0.3031
ScenarioSize64Probes32SmgWalkB,35,2411645404100907887,0.0,0.75,0.0,32,281,0.3103
ScenarioSize64Probes32SmgWalkB,36,3005318628866213391,0.0,0.75,0.0,32,274,0.313
ScenarioSize64Probes32SmgWalkB,37,1188136200599286222,0.0,0.75,0.0,32,273,0.3196
ScenarioSize64Probes32SmgWalkB,38,679805008651456991,0.0,0.75,0.0,32,253,0.3038
ScenarioSize64Probes32SmgWalkB,39,2317393341493435360,0.0,0.75,0.0,32,243,0.3129
ScenarioSize64Probes32SmgWalkB,40,4066160913880139597,0.0,0.75,0.0,32,253,0.3102
ScenarioSize64Probes32SmgWalkB,41,880879381715801850,0.0,1.0,0.0,32,353,0.4846
ScenarioSize64Probes32SmgWalkB,42,1726760884372734954,0.0,1.0,0.0,32,377,0.5005
ScenarioSize64Probes32SmgWalkB,43,4258223208824758363,0.0,1.0,0.0,32,337,0.4851
ScenarioSize64Probes32SmgWalkB,44,2933576904639372249,0.0,1.0,0.0,32,312,0.4644
ScenarioSize64Probes32SmgWalkB,45,1619482046725515514,0.0,1.0,0.0,32,326,0.4758
ScenarioSize64Probes32SmgWalkB,46,8295202924942681088,0.0,1.0,0.0,32,316,0.458
ScenarioSize64Probes32SmgWalkB,47,6220178296303381513,0.0,1.0,0.0,32,339,0.4622
ScenarioSize64Probes32SmgWalkB,48,6524421527956593628,0.0,1.0,0.0,32,355,0.468
ScenarioSize64Probes32SmgWalkB,49,1279641774440027009,0.0,1.0,0.0,32,353,0.4749
ScenarioSize64Probes32SmgWalkB,50,7094737511858396355,0.0,1.0,0.0,32,327,0.5061
ScenarioSize64Probes32SmgWalkB,51,7842193693029557975,0.0,1.0,0.0,32,356,0.4675
ScenarioSize64Probes32SmgWalkB,52,2392680491109428476,0.0,1.0,0.0,32,342,0.5059
ScenarioSize64Probes32SmgWalkB,53,3866198558357324097,0.0,1.0,0.0,32,339,0.4683
ScenarioSize64Probes32SmgWalkB,54,1395931845597272999,0.0,1.0,0.0,32,308,0.4739
ScenarioSize64Probes32SmgWalkB,55,2411645404100907887,0.0,1.0,0.0,32,331,0.4775
ScenarioSize64Probes32SmgWalkB,56,3005318628866213391,0.0,1.0,0.0,32,350,0.4824
ScenarioSize64Probes32SmgWalkB,57,1188136200599286222,0.0,1.0,0.0,32,346,0.479
ScenarioSize64Probes32SmgWalkB,58,679805008651456991,0.0,1.0,0.0,32,368,0.502
ScenarioSize64Probes32SmgWalkB,59,2317393341493435360,0.0,1.0,0.0,32,340,0.4641
ScenarioSize64Probes32SmgWalkB,60,4066160913880139597,0.0,1.0,0.0,32,335,0.479
ScenarioSize64Probes32SmgWalkB,61,880879381715801850,0.25,0.5,0.0,32,212,0.1974
ScenarioSize64Probes32SmgWalkB,62,1726760884372734954,0.25,0.5,0.0,32,169,0.186
ScenarioSize64Probes32SmgWalkB,63,4258223208824758363,0.25,0.5,0.0,32,173,0.2003
ScenarioSize64Probes32SmgWalkB,64,2933576904639372249,0.25,0.5,0.0,32,176,0.1935
ScenarioSize64Probes32SmgWalkB,65,1619482046725515514,0.25,0.5,0.0,32,184,0.1962
ScenarioSize64Probes32SmgWalkB,66,8295202924942681088,0.25,0.5,0.0,32,197,0.208
ScenarioSize64Probes32SmgWalkB,67,6220178296303381513,0.25,0.5,0.0,32,193,0.2037
ScenarioSize64Probes32SmgWalkB,68,6524421527956593628,0.25,0.5,0.0,32,214,0.203
ScenarioSize64Probes32SmgWalkB,69,1279641774440027009,0.25,0.5,0.0,32,185,0.2027
ScenarioSize64Probes32SmgWalkB,70,7094737511858396355,0.25,0.5,0.0,32,169,0.1986
ScenarioSize64Probes32SmgWalkB,71,7842193693029557975,0.25,0.5,0.0,32,196,0.2092
ScenarioSize64Probes32SmgWalkB,72,2392680491109428476,0.25,0.5,0.0,32,168,0.1952
ScenarioSize64Probes32SmgWalkB,73,3866198558357324097,0.25,0.5,0.0,32,184,0.2051
ScenarioSize64Probes32SmgWalkB,74,1395931845597272999,0.25,0.5,0.0,32,154,0.1933
ScenarioSize64Probes32SmgWalkB,75,2411645404100907887,0.25,0.5,0.0,32,195,0.2041
ScenarioSize64Probes32SmgWalkB,76,3005318628866213391,0.25,0.5,0.0,32,184,0.2021
ScenarioSize64Probes32SmgWalkB,77,1188136200599286222,0.25,0.5,0.0,32,174,0.2106
ScenarioSize64Probes32SmgWalkB,78,679805008651456991,0.25,0.5,0.0,32,191,0.2061
ScenarioSize64Probes32SmgWalkB,79,2317393341493435360,0.25,0.5,0.0,32,189,0.1967
ScenarioSize64Probes32SmgWalkB,80,4066160913880139597,0.25,0.5,0.0,32,184,0.1999
ScenarioSize64Probes32SmgWalkB,81,880879381715801850,0.25,0.75,0.0,32,291,0.3
ScenarioSize64Probes32SmgWalkB,82,1726760884372734954,0.25,0.75,0.0,32,258,0.3177
ScenarioSize64Probes32SmgWalkB,83,4258223208824758363,0.25,0.75,0.0,32,277,0.3158
ScenarioSize64Probes32SmgWalkB,84,2933576904639372249,0.25,0.75,0.0,32,258,0.3067
ScenarioSize64Probes32SmgWalkB,85,1619482046725515514,0.25,0.75,0.0,32,266,0.2952
ScenarioSize64Probes32SmgWalkB,86,8295202924942681088,0.25,0.75,0.0,32,287,0.3077
ScenarioSize64Probes32SmgWalkB,87,6220178296303381513,0.25,0.75,0.0,32,270,0.2982
ScenarioSize64Probes32SmgWalkB,88,6524421527956593628,0.25,0.75,0.0,32,249,0.2964
