Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32WeightedWalkA,1,880879381715801850,1.0,1.0,0.0,32,534,0.4585
ScenarioSize64Probes32WeightedWalkA,2,1726760884372734954,1.0,1.0,0.0,32,548,0.4858
ScenarioSize64Probes32WeightedWalkA,3,4258223208824758363,1.0,1.0,0.0,32,497,0.4592
ScenarioSize64Probes32WeightedWalkA,4,2933576904639372249,1.0,1.0,0.0,32,530,0.4724
ScenarioSize64Probes32WeightedWalkA,5,1619482046725515514,1.0,1.0,0.0,32,526,0.4661
ScenarioSize64Probes32WeightedWalkA,6,8295202924942681088,1.0,1.0,0.0,32,539,0.4592
ScenarioSize64Probes32WeightedWalkA,7,6220178296303381513,1.0,1.0,0.0,32,517,0.4739
ScenarioSize64Probes32WeightedWalkA,8,6524421527956593628,1.0,1.0,0.0,32,484,0.4231
ScenarioSize64Probes32WeightedWalkA,9,1279641774440027009,1.0,1.0,0.0,32,500,0.4607
ScenarioSize64Probes32WeightedWalkA,10,7094737511858396355,1.0,1.0,0.0,32,477,0.4495
ScenarioSize64Probes32WeightedWalkA,11,7842193693029557975,1.0,1.0,0.0,32,468,0.4387
ScenarioSize64Probes32WeightedWalkA,12,2392680491109428476,1.0,1.0,0.0,32,496,0.4578
ScenarioSize64Probes32WeightedWalkA,13,3866198558357324097,1.0,1.0,0.0,32,518,0.4668
ScenarioSize64Probes32WeightedWalkA,14,1395931845597272999,1.0,1.0,0.0,32,469,0.4539
ScenarioSize64Probes32WeightedWalkA,15,2411645404100907887,1.0,1.0,0.0,32,506,0.4653
ScenarioSize64Probes32WeightedWalkA,16,3005318628866213391,1.0,1.0,0.0,32,518,0.4663
ScenarioSize64Probes32WeightedWalkA,17,1188136200599286222,1.0,1.0,0.0,32,471,0.4312
ScenarioSize64Probes32WeightedWalkA,18,679805008651456991,1.0,1.0,0.0,32,480,0.4409
ScenarioSize64Probes32WeightedWalkA,19,2317393341493435360,1.0,1.0,0.0,32,468,0.447
ScenarioSize64Probes32WeightedWalkA,20,4066160913880139597,1.0,1.0,0.0,32,495,0.4475
