Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32WeightedWalkB,1,880879381715801850,0.0,0.5,0.0,32,204,0.199
ScenarioSize64Probes32WeightedWalkB,2,1726760884372734954,0.0,0.5,0.0,32,185,0.2137
ScenarioSize64Probes32WeightedWalkB,3,4258223208824758363,0.0,0.5,0.0,32,181,0.205
ScenarioSize64Probes32WeightedWalkB,4,2933576904639372249,0.0,0.5,0.0,32,162,0.1907
ScenarioSize64Probes32WeightedWalkB,5,1619482046725515514,0.0,0.5,0.0,32,203,0.204
ScenarioSize64Probes32WeightedWalkB,6,8295202924942681088,0.0,0.5,0.0,32,210,0.202
ScenarioSize64Probes32WeightedWalkB,7,6220178296303381513,0.0,0.5,0.0,32,183,0.2026
ScenarioSize64Probes32WeightedWalkB,8,6524421527956593628,0.0,0.5,0.0,32,177,0.198
ScenarioSize64Probes32WeightedWalkB,9,1279641774440027009,0.0,0.5,0.0,32,175,0.2138
ScenarioSize64Probes32WeightedWalkB,10,7094737511858396355,0.0,0.5,0.0,32,184,0.2023
ScenarioSize64Probes32WeightedWalkB,11,7842193693029557975,0.0,0.5,0.0,32,181,0.1998
ScenarioSize64Probes32WeightedWalkB,12,2392680491109428476,0.0,0.5,0.0,32,152,0.1884
ScenarioSize64Probes32WeightedWalkB,13,3866198558357324097,0.0,0.5,0.0,32,181,0.2001
ScenarioSize64Probes32WeightedWalkB,14,1395931845597272999,0.0,0.5,0.0,32,160,0.1975
ScenarioSize64Probes32WeightedWalkB,15,2411645404100907887,0.0,0.5,0.0,32,192,0.2008
ScenarioSize64Probes32WeightedWalkB,16,3005318628866213391,0.0,0.5,0.0,32,179,0.1997
ScenarioSize64Probes32WeightedWalkB,17,1188136200599286222,0.0,0.5,0.0,32,174,0.2017
ScenarioSize64Probes32WeightedWalkB,18,679805008651456991,0.0,0.5,0.0,32,153,0.1992
ScenarioSize64Probes32WeightedWalkB,19,2317393341493435360,0.0,0.5,0.0,32,167,0.2011
ScenarioSize64Probes32WeightedWalkB,20,4066160913880139597,0.0,0.5,0.0,32,186,0.2032
ScenarioSize64Probes32WeightedWalkB,21,880879381715801850,0.0,0.75,0.0,32,270,0.2951
ScenarioSize64Probes32WeightedWalkB,22,1726760884372734954,0.0,0.75,0.0,32,266,0.3068
ScenarioSize64Probes32WeightedWalkB,23,4258223208824758363,0.0,0.75,0.0,32,234,0.2965
ScenarioSize64Probes32WeightedWalkB,24,2933576904639372249,0.0,0.75,0.0,32,231,0.3095
ScenarioSize64Probes32WeightedWalkB,25,1619482046725515514,0.0,0.75,0.0,32,256,0.3139
ScenarioSize64Probes32WeightedWalkB,26,8295202924942681088,0.0,0.75,0.0,32,258,0.3232
ScenarioSize64Probes32WeightedWalkB,27,6220178296303381513,0.0,0.75,0.0,32,239,0.3019
ScenarioSize64Probes32WeightedWalkB,28,6524421527956593628,0.0,0.75,0.0,32,233,0.3013
ScenarioSize64Probes32WeightedWalkB,29,1279641774440027009,0.0,0.75,0.0,32,255,0.2923
ScenarioSize64Probes32WeightedWalkB,30,7094737511858396355,0.0,0.75,0.0,32,253,0.3149
ScenarioSize64Probes32WeightedWalkB,31,7842193693029557975,0.0,0.75,0.0,32,273,0.2929
ScenarioSize64Probes32WeightedWalkB,32,2392680491109428476,0.0,0.75,0.0,32,251,0.2951
ScenarioSize64Probes32WeightedWalkB,33,3866198558357324097,0.0,0.75,0.0,32,266,0.3028
ScenarioSize64Probes32WeightedWalkB,34,1395931845597272999,0.0,0.75,0.0,32,231,0.3022
ScenarioSize64Probes32WeightedWalkB,35,2411645404100907887,0.0,0.75,0.0,32,269,0.3096
ScenarioSize64Probes32WeightedWalkB,36,3005318628866213391,0.0,0.75,0.0,32,255,0.3005
ScenarioSize64Probes32WeightedWalkB,37,1188136200599286222,0.0,0.75,0.0,32,252,0.312
ScenarioSize64Probes32WeightedWalkB,38,679805008651456991,0.0,0.75,0.0,32,261,0.2984
ScenarioSize64Probes32WeightedWalkB,39,2317393341493435360,0.0,0.75,0.0,32,243,0.3054
ScenarioSize64Probes32WeightedWalkB,40,4066160913880139597,0.0,0.75,0.0,32,282,0.3013
ScenarioSize64Probes32WeightedWalkB,41,880879381715801850,0.0,1.0,0.0,32,352,0.4763
ScenarioSize64Probes32WeightedWalkB,42,1726760884372734954,0.0,1.0,0.0,32,337,0.4407
ScenarioSize64Probes32WeightedWalkB,43,4258223208824758363,0.0,1.0,0.0,32,318,0.4683
ScenarioSize64Probes32WeightedWalkB,44,2933576904639372249,0.0,1.0,0.0,32,315,0.4258
ScenarioSize64Probes32WeightedWalkB,45,1619482046725515514,0.0,1.0,0.0,32,309,0.4636
ScenarioSize64Probes32WeightedWalkB,46,8295202924942681088,0.0,1.0,0.0,32,314,0.4255
ScenarioSize64Probes32WeightedWalkB,47,6220178296303381513,0.0,1.0,0.0,32,307,0.4294
ScenarioSize64Probes32WeightedWalkB,48,6524421527956593628,0.0,1.0,0.0,32,336,0.4456
ScenarioSize64Probes32WeightedWalkB,49,1279641774440027009,0.0,1.0,0.0,32,315,0.394
ScenarioSize64Probes32WeightedWalkB,50,7094737511858396355,0.0,1.0,0.0,32,288,0.436
ScenarioSize64Probes32WeightedWalkB,51,7842193693029557975,0.0,1.0,0.0,32,338,0.479
