,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
0,GlobalTaskQueue,1,1726760884372734954,0.0,0.6,0.6,22,472
1,GlobalTaskQueue,2,4258223208824758363,0.0,0.6,0.6,20,414
2,GlobalTaskQueue,3,2933576904639372249,0.0,0.6,0.6,16,464
3,GlobalTaskQueue,4,1619482046725515514,0.0,0.6,0.6,18,450
4,GlobalTaskQueue,5,8295202924942681088,0.0,0.6,0.6,17,459
5,GlobalTaskQueue,6,6220178296303381513,0.0,0.6,0.6,20,443
6,GlobalTaskQueue,7,6524421527956593628,0.0,0.6,0.6,19,416
7,GlobalTaskQueue,8,1279641774440027009,0.0,0.6,0.6,20,459
8,GlobalTaskQueue,9,7094737511858396355,0.0,0.6,0.6,17,463
9,GlobalTaskQueue,10,7842193693029557975,0.0,0.6,0.6,21,473
10,GlobalTaskQueue,11,2392680491109428476,0.0,0.6,0.6,20,467
11,GlobalTaskQueue,12,3866198558357324097,0.1,0.6,0.6,20,450
12,GlobalTaskQueue,13,1395931845597272999,0.1,0.6,0.6,20,428
13,GlobalTaskQueue,14,2411645404100907887,0.1,0.6,0.6,17,459
14,GlobalTaskQueue,15,3005318628866213391,0.1,0.6,0.6,23,455
15,GlobalTaskQueue,16,1188136200599286222,0.1,0.6,0.6,20,443
16,GlobalTaskQueue,17,679805008651456991,0.1,0.6,0.6,20,458
17,GlobalTaskQueue,18,2317393341493435360,0.1,0.6,0.6,20,458
18,GlobalTaskQueue,19,4066160913880139597,0.1,0.6,0.6,22,443
19,GlobalTaskQueue,20,7584476204436865402,0.1,0.6,0.6,19,451
20,GlobalTaskQueue,21,2765986266126801683,0.1,0.6,0.6,22,465
21,GlobalTaskQueue,22,1245205721442045905,0.1,0.6,0.6,21,469
22,GlobalTaskQueue,23,2161808154937950825,0.1,0.6,0.6,18,454
23,GlobalTaskQueue,24,8239593692986775203,0.2,0.6,0.6,17,432
24,GlobalTaskQueue,25,2284277258169696329,0.2,0.6,0.6,23,481
25,GlobalTaskQueue,26,2440163239998970881,0.2,0.6,0.6,20,446
26,GlobalTaskQueue,27,4360914781284868792,0.2,0.6,0.6,19,453
27,GlobalTaskQueue,28,3630507381476877187,0.2,0.6,0.6,16,466
28,GlobalTaskQueue,29,8803386724306231915,0.2,0.6,0.6,21,474
29,GlobalTaskQueue,30,529416144729368175,0.2,0.6,0.6,22,430
30,GlobalTaskQueue,31,3302916424407910745,0.2,0.6,0.6,15,418
31,GlobalTaskQueue,32,7270368722021683965,0.2,0.6,0.6,19,433
32,GlobalTaskQueue,33,8673779154507073718,0.2,0.6,0.6,18,452
33,GlobalTaskQueue,34,2907446571418917920,0.2,0.6,0.6,22,438
34,GlobalTaskQueue,35,7769491283369387324,0.3,0.6,0.6,19,453
35,GlobalTaskQueue,36,122077049887370444,0.3,0.6,0.6,22,428
36,GlobalTaskQueue,37,2587391191269711529,0.3,0.6,0.6,17,449
37,GlobalTaskQueue,38,5112413900561284087,0.3,0.6,0.6,23,465
38,GlobalTaskQueue,39,8909426792926036062,0.3,0.6,0.6,18,407
39,GlobalTaskQueue,40,5467837947904757478,0.3,0.6,0.6,15,436
40,GlobalTaskQueue,41,4323965874383714557,0.3,0.6,0.6,26,438
41,GlobalTaskQueue,42,4014707725544663938,0.3,0.6,0.6,19,420
42,GlobalTaskQueue,43,7923196244295401981,0.3,0.6,0.6,19,427
43,GlobalTaskQueue,44,4396924318845862625,0.3,0.6,0.6,21,447
44,GlobalTaskQueue,45,8227237384670574107,0.3,0.6,0.6,23,424
45,GlobalTaskQueue,46,3151921114294514948,0.3,0.6,0.6,26,438
46,GlobalTaskQueue,47,8326381495796212454,0.4,0.6,0.6,17,426
47,GlobalTaskQueue,48,2023882813118053516,0.4,0.6,0.6,19,444
48,GlobalTaskQueue,49,4147193246553292593,0.4,0.6,0.6,21,415
49,GlobalTaskQueue,50,2044415532737913891,0.4,0.6,0.6,16,404
50,GlobalTaskQueue,51,2611022133476534924,0.4,0.6,0.6,17,420
51,GlobalTaskQueue,52,8036839688833032857,0.4,0.6,0.6,18,415
52,GlobalTaskQueue,53,8267778711096569100,0.4,0.6,0.6,19,425
53,GlobalTaskQueue,54,8012970576373185931,0.4,0.6,0.6,21,418
54,GlobalTaskQueue,55,4333162774557503791,0.4,0.6,0.6,25,460
55,GlobalTaskQueue,56,6684107978673260553,0.4,0.6,0.6,18,425
56,GlobalTaskQueue,57,5533786115979160249,0.4,0.6,0.6,18,434
57,GlobalTaskQueue,58,2159221944099802802,0.4,0.6,0.6,18,429
58,GlobalTaskQueue,59,7771862992547174936,0.5,0.6,0.6,21,418
59,GlobalTaskQueue,60,5922645555022229460,0.5,0.6,0.6,18,405
60,GlobalTaskQueue,61,2176879634217948794,0.5,0.6,0.6,20,443
61,GlobalTaskQueue,62,5077380910847103461,0.5,0.6,0.6,18,397
62,GlobalTaskQueue,63,918820051915654654,0.5,0.6,0.6,24,443
63,GlobalTaskQueue,64,7937091323527244276,0.5,0.6,0.6,23,417
64,GlobalTaskQueue,65,1316503054109710340,0.5,0.6,0.6,21,435
65,GlobalTaskQueue,66,5089406937748441115,0.5,0.6,0.6,26,410
66,GlobalTaskQueue,67,6518512397515596896,0.5,0.6,0.6,21,432
67,GlobalTaskQueue,68,2613774745543636911,0.5,0.6,0.6,20,427
68,GlobalTaskQueue,69,8892203501256106077,0.5,0.6,0.6,20,442
69,GlobalTaskQueue,70,7152306132091978418,0.6,0.6,0.6,15,428
70,GlobalTaskQueue,71,1085336730471938234,0.6,0.6,0.6,20,411
71,GlobalTaskQueue,72,7180686553944535862,0.6,0.6,0.6,19,408
72,GlobalTaskQueue,73,8067774778066009292,0.6,0.6,0.6,19,436
73,GlobalTaskQueue,74,5415241820693545611,0.6,0.6,0.6,18,408
74,GlobalTaskQueue,75,8347618600200452282,0.6,0.6,0.6,18,413
75,GlobalTaskQueue,76,8314260696208637498,0.6,0.6,0.6,23,402
76,GlobalTaskQueue,77,6231928643181144428,0.6,0.6,0.6,17,411
77,GlobalTaskQueue,78,6726036384798479501,0.6,0.6,0.6,16,441
78,GlobalTaskQueue,79,7850228651115550894,0.6,0.6,0.6,16,421
79,GlobalTaskQueue,80,1435315546960868936,0.6,0.6,0.6,14,400
80,GlobalTaskQueue,81,7910028235613076763,0.6,0.6,0.6,21,402
81,GlobalTaskQueue,82,3648578845013148747,0.7,0.6,0.6,21,396
82,GlobalTaskQueue,83,4360616670248410551,0.7,0.6,0.6,20,403
83,GlobalTaskQueue,84,1967146709294496626,0.7,0.6,0.6,21,404
84,GlobalTaskQueue,85,5544519997493579024,0.7,0.6,0.6,18,413
85,GlobalTaskQueue,86,8457728813143501131,0.7,0.6,0.6,20,393
86,GlobalTaskQueue,87,6376101120045082080,0.7,0.6,0.6,16,389
87,GlobalTaskQueue,88,7909214542224020798,0.7,0.6,0.6,23,398
88,GlobalTaskQueue,89,3842674347991993996,0.7,0.6,0.6,23,408
89,GlobalTaskQueue,90,1796160489603231124,0.7,0.6,0.6,17,391
90,GlobalTaskQueue,91,6225431315032175363,0.7,0.6,0.6,20,426
91,GlobalTaskQueue,92,6988013564169465681,0.7,0.6,0.6,22,395
92,GlobalTaskQueue,93,7289755218735189402,0.7,0.6,0.6,17,398
93,GlobalTaskQueue,94,1223023882101116390,0.8,0.6,0.6,21,383
94,GlobalTaskQueue,95,1872217177666212782,0.8,0.6,0.6,19,440
95,GlobalTaskQueue,96,649294613152767581,0.8,0.6,0.6,20,411
96,GlobalTaskQueue,97,2730769366622846191,0.8,0.6,0.6,16,416
97,GlobalTaskQueue,98,8122135727775352591,0.8,0.6,0.6,20,384
98,GlobalTaskQueue,99,6408208360066876943,0.8,0.6,0.6,15,371
99,GlobalTaskQueue,100,7352277596418142374,0.8,0.6,0.6,15,418
100,GlobalTaskQueue,101,5117226961052674361,0.8,0.6,0.6,17,400
101,GlobalTaskQueue,102,4588890379691784188,0.8,0.6,0.6,15,404
102,GlobalTaskQueue,103,6459015322564901664,0.8,0.6,0.6,23,403
103,GlobalTaskQueue,104,7837221478937801090,0.8,0.6,0.6,21,397
104,GlobalTaskQueue,105,3827705389464461497,0.9,0.6,0.6,21,390
105,GlobalTaskQueue,106,3406450873903873254,0.9,0.6,0.6,19,379
106,GlobalTaskQueue,107,6620002322455467055,0.9,0.6,0.6,17,359
107,GlobalTaskQueue,108,6739882615604243062,0.9,0.6,0.6,17,365
108,GlobalTaskQueue,109,4018421906208245931,0.9,0.6,0.6,17,355
109,GlobalTaskQueue,110,5375588602576824032,0.9,0.6,0.6,23,372
110,GlobalTaskQueue,111,6418971901351527182,0.9,0.6,0.6,16,396
111,GlobalTaskQueue,112,6995636730645982927,0.9,0.6,0.6,18,384
112,GlobalTaskQueue,113,8341824957984577980,0.9,0.6,0.6,21,407
113,GlobalTaskQueue,114,257079357768246090,0.9,0.6,0.6,18,362
114,GlobalTaskQueue,115,8457442689693583145,0.9,0.6,0.6,18,370
115,GlobalTaskQueue,116,9214454362203808878,0.9,0.6,0.6,18,394
116,GlobalTaskQueue,117,9171226480073045500,1.0,0.6,0.6,22,359
117,GlobalTaskQueue,118,2124060430823971808,1.0,0.6,0.6,16,402
118,GlobalTaskQueue,119,7216859551928059389,1.0,0.6,0.6,18,375
119,GlobalTaskQueue,120,9095234008697279652,1.0,0.6,0.6,14,387
120,GlobalTaskQueue,121,1059637217287277730,1.0,0.6,0.6,17,375
121,GlobalTaskQueue,122,3810914654779374324,1.0,0.6,0.6,20,383
122,GlobalTaskQueue,123,7719565551173098335,1.0,0.6,0.6,19,403
123,GlobalTaskQueue,124,2534101954754249655,1.0,0.6,0.6,21,395
124,GlobalTaskQueue,125,6540218314516795143,1.0,0.6,0.6,20,391
125,GlobalTaskQueue,126,672300978698827014,1.0,0.6,0.6,18,388
126,GlobalTaskQueue,127,1962829301431012585,1.0,0.6,0.6,18,382
127,GlobalTaskQueue,128,2542084654357450284,1.0,0.6,0.6,24,381
