,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
0,GlobalTaskQueueGamma,1,880879381715801850,0.0,0.1,0.1,19,156
1,GlobalTaskQueueGamma,2,1726760884372734954,0.0,0.1,0.2,25,193
2,GlobalTaskQueueGamma,3,4258223208824758363,0.0,0.1,0.3,23,246
3,GlobalTaskQueueGamma,4,2933576904639372249,0.0,0.1,0.4,21,324
4,GlobalTaskQueueGamma,5,1619482046725515514,0.0,0.1,0.5,21,331
5,GlobalTaskQueueGamma,6,8295202924942681088,0.0,0.1,0.6,25,399
6,GlobalTaskQueueGamma,7,6220178296303381513,0.0,0.1,0.7,17,417
7,GlobalTaskQueueGamma,8,6524421527956593628,0.0,0.1,0.8,21,460
8,GlobalTaskQueueGamma,9,1279641774440027009,0.0,0.1,0.9,20,485
9,GlobalTaskQueueGamma,10,7094737511858396355,0.0,0.1,1.0,18,545
10,GlobalTaskQueueGamma,11,7842193693029557975,0.0,0.2,0.1,21,196
11,GlobalTaskQueueGamma,12,2392680491109428476,0.0,0.2,0.2,24,239
12,GlobalTaskQueueGamma,13,3866198558357324097,0.0,0.2,0.3,26,300
13,GlobalTaskQueueGamma,14,1395931845597272999,0.0,0.2,0.4,24,332
14,GlobalTaskQueueGamma,15,2411645404100907887,0.0,0.2,0.5,20,390
15,GlobalTaskQueueGamma,16,3005318628866213391,0.0,0.2,0.6,24,392
16,GlobalTaskQueueGamma,17,1188136200599286222,0.0,0.2,0.7,18,436
17,GlobalTaskQueueGamma,18,679805008651456991,0.0,0.2,0.8,22,489
18,GlobalTaskQueueGamma,19,2317393341493435360,0.0,0.2,0.9,20,482
19,GlobalTaskQueueGamma,20,4066160913880139597,0.0,0.2,1.0,17,533
20,GlobalTaskQueueGamma,21,7584476204436865402,0.0,0.3,0.1,23,265
21,GlobalTaskQueueGamma,22,2765986266126801683,0.0,0.3,0.2,23,317
22,GlobalTaskQueueGamma,23,1245205721442045905,0.0,0.3,0.3,21,341
23,GlobalTaskQueueGamma,24,2161808154937950825,0.0,0.3,0.4,19,383
24,GlobalTaskQueueGamma,25,8239593692986775203,0.0,0.3,0.5,22,380
25,GlobalTaskQueueGamma,26,2284277258169696329,0.0,0.3,0.6,19,417
26,GlobalTaskQueueGamma,27,2440163239998970881,0.0,0.3,0.7,24,447
27,GlobalTaskQueueGamma,28,4360914781284868792,0.0,0.3,0.8,19,479
28,GlobalTaskQueueGamma,29,3630507381476877187,0.0,0.3,0.9,20,532
29,GlobalTaskQueueGamma,30,8803386724306231915,0.0,0.3,1.0,23,547
30,GlobalTaskQueueGamma,31,529416144729368175,0.0,0.4,0.1,21,302
31,GlobalTaskQueueGamma,32,3302916424407910745,0.0,0.4,0.2,17,300
32,GlobalTaskQueueGamma,33,7270368722021683965,0.0,0.4,0.3,18,353
33,GlobalTaskQueueGamma,34,787977187255625337,0.0,0.4,0.4,20,369
34,GlobalTaskQueueGamma,35,8673779154507073718,0.0,0.4,0.5,21,445
35,GlobalTaskQueueGamma,36,2907446571418917920,0.0,0.4,0.6,20,449
36,GlobalTaskQueueGamma,37,7769491283369387324,0.0,0.4,0.7,24,472
37,GlobalTaskQueueGamma,38,122077049887370444,0.0,0.4,0.8,21,483
38,GlobalTaskQueueGamma,39,2587391191269711529,0.0,0.4,0.9,16,492
39,GlobalTaskQueueGamma,40,5112413900561284087,0.0,0.4,1.0,16,508
40,GlobalTaskQueueGamma,41,8909426792926036062,0.0,0.5,0.1,18,332
41,GlobalTaskQueueGamma,42,5467837947904757478,0.0,0.5,0.2,25,367
42,GlobalTaskQueueGamma,43,4323965874383714557,0.0,0.5,0.3,22,395
43,GlobalTaskQueueGamma,44,4014707725544663938,0.0,0.5,0.4,21,378
44,GlobalTaskQueueGamma,45,7923196244295401981,0.0,0.5,0.5,21,486
45,GlobalTaskQueueGamma,46,4396924318845862625,0.0,0.5,0.6,19,454
46,GlobalTaskQueueGamma,47,8227237384670574107,0.0,0.5,0.7,20,497
47,GlobalTaskQueueGamma,48,3151921114294514948,0.0,0.5,0.8,21,470
48,GlobalTaskQueueGamma,49,8326381495796212454,0.0,0.5,0.9,22,521
49,GlobalTaskQueueGamma,50,2023882813118053516,0.0,0.5,1.0,16,528
50,GlobalTaskQueueGamma,51,4147193246553292593,0.0,0.6,0.1,21,387
51,GlobalTaskQueueGamma,52,2044415532737913891,0.0,0.6,0.2,21,409
52,GlobalTaskQueueGamma,53,2611022133476534924,0.0,0.6,0.3,24,446
53,GlobalTaskQueueGamma,54,8036839688833032857,0.0,0.6,0.4,19,453
54,GlobalTaskQueueGamma,55,8267778711096569100,0.0,0.6,0.5,25,453
55,GlobalTaskQueueGamma,56,8012970576373185931,0.0,0.6,0.6,19,495
56,GlobalTaskQueueGamma,57,4333162774557503791,0.0,0.6,0.7,19,501
57,GlobalTaskQueueGamma,58,6684107978673260553,0.0,0.6,0.8,24,503
58,GlobalTaskQueueGamma,59,5533786115979160249,0.0,0.6,0.9,19,488
59,GlobalTaskQueueGamma,60,2159221944099802802,0.0,0.6,1.0,19,519
60,GlobalTaskQueueGamma,61,7771862992547174936,0.0,0.7,0.1,21,402
61,GlobalTaskQueueGamma,62,5922645555022229460,0.0,0.7,0.2,18,425
62,GlobalTaskQueueGamma,63,2176879634217948794,0.0,0.7,0.3,23,449
63,GlobalTaskQueueGamma,64,5077380910847103461,0.0,0.7,0.4,21,469
64,GlobalTaskQueueGamma,65,918820051915654654,0.0,0.7,0.5,20,501
65,GlobalTaskQueueGamma,66,7937091323527244276,0.0,0.7,0.6,20,492
66,GlobalTaskQueueGamma,67,7420433426593050270,0.0,0.7,0.7,19,488
67,GlobalTaskQueueGamma,68,1316503054109710340,0.0,0.7,0.8,19,507
68,GlobalTaskQueueGamma,69,5089406937748441115,0.0,0.7,0.9,21,510
69,GlobalTaskQueueGamma,70,6518512397515596896,0.0,0.7,1.0,25,530
70,GlobalTaskQueueGamma,71,2613774745543636911,0.0,0.8,0.1,17,477
71,GlobalTaskQueueGamma,72,8892203501256106077,0.0,0.8,0.2,20,470
72,GlobalTaskQueueGamma,73,7152306132091978418,0.0,0.8,0.3,16,484
73,GlobalTaskQueueGamma,74,1085336730471938234,0.0,0.8,0.4,23,487
74,GlobalTaskQueueGamma,75,7180686553944535862,0.0,0.8,0.5,20,476
75,GlobalTaskQueueGamma,76,8067774778066009292,0.0,0.8,0.6,21,514
76,GlobalTaskQueueGamma,77,5415241820693545611,0.0,0.8,0.7,14,475
77,GlobalTaskQueueGamma,78,8347618600200452282,0.0,0.8,0.8,18,537
78,GlobalTaskQueueGamma,79,8314260696208637498,0.0,0.8,0.9,18,519
79,GlobalTaskQueueGamma,80,6231928643181144428,0.0,0.8,1.0,20,553
80,GlobalTaskQueueGamma,81,6726036384798479501,0.0,0.9,0.1,20,496
81,GlobalTaskQueueGamma,82,7850228651115550894,0.0,0.9,0.2,22,492
82,GlobalTaskQueueGamma,83,1435315546960868936,0.0,0.9,0.3,21,502
83,GlobalTaskQueueGamma,84,7910028235613076763,0.0,0.9,0.4,22,514
84,GlobalTaskQueueGamma,85,3648578845013148747,0.0,0.9,0.5,16,536
85,GlobalTaskQueueGamma,86,4360616670248410551,0.0,0.9,0.6,20,492
86,GlobalTaskQueueGamma,87,1967146709294496626,0.0,0.9,0.7,18,538
87,GlobalTaskQueueGamma,88,5544519997493579024,0.0,0.9,0.8,26,508
88,GlobalTaskQueueGamma,89,8457728813143501131,0.0,0.9,0.9,25,509
89,GlobalTaskQueueGamma,90,6376101120045082080,0.0,0.9,1.0,21,509
90,GlobalTaskQueueGamma,91,7909214542224020798,0.0,1.0,0.1,21,548
91,GlobalTaskQueueGamma,92,3842674347991993996,0.0,1.0,0.2,23,520
92,GlobalTaskQueueGamma,93,1796160489603231124,0.0,1.0,0.3,22,529
93,GlobalTaskQueueGamma,94,6225431315032175363,0.0,1.0,0.4,26,534
94,GlobalTaskQueueGamma,95,6988013564169465681,0.0,1.0,0.5,23,511
95,GlobalTaskQueueGamma,96,7289755218735189402,0.0,1.0,0.6,19,518
96,GlobalTaskQueueGamma,97,1223023882101116390,0.0,1.0,0.7,23,538
97,GlobalTaskQueueGamma,98,1872217177666212782,0.0,1.0,0.8,21,556
98,GlobalTaskQueueGamma,99,649294613152767581,0.0,1.0,0.9,21,519
