,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
0,QuadTree,1,880879381715801850,0.0,0.1,0,18,105
1,QuadTree,2,1726760884372734954,0.0,0.1,0,18,110
2,QuadTree,3,4258223208824758363,0.0,0.1,0,18,118
3,QuadTree,4,2933576904639372249,0.0,0.1,0,18,106
4,QuadTree,5,1619482046725515514,0.0,0.1,0,18,105
5,QuadTree,6,8295202924942681088,0.0,0.1,0,18,108
6,QuadTree,7,6220178296303381513,0.0,0.1,0,18,114
7,QuadTree,8,6524421527956593628,0.0,0.1,0,18,98
8,QuadTree,9,1279641774440027009,0.0,0.1,0,18,90
9,QuadTree,10,7094737511858396355,0.0,0.1,0,18,102
10,QuadTree,11,7842193693029557975,0.0,0.2,0,18,181
11,QuadTree,12,2392680491109428476,0.0,0.2,0,18,168
12,QuadTree,13,3866198558357324097,0.0,0.2,0,18,158
13,QuadTree,14,1395931845597272999,0.0,0.2,0,18,171
14,QuadTree,15,2411645404100907887,0.0,0.2,0,18,165
15,QuadTree,16,3005318628866213391,0.0,0.2,0,18,192
16,QuadTree,17,1188136200599286222,0.0,0.2,0,18,177
17,QuadTree,18,679805008651456991,0.0,0.2,0,18,180
18,QuadTree,19,2317393341493435360,0.0,0.2,0,18,165
19,QuadTree,20,4066160913880139597,0.0,0.2,0,18,168
20,QuadTree,21,7584476204436865402,0.0,0.3,0,18,236
21,QuadTree,22,2765986266126801683,0.0,0.3,0,18,232
22,QuadTree,23,1245205721442045905,0.0,0.3,0,18,258
23,QuadTree,24,2161808154937950825,0.0,0.3,0,18,254
24,QuadTree,25,8239593692986775203,0.0,0.3,0,18,236
25,QuadTree,26,2284277258169696329,0.0,0.3,0,18,216
26,QuadTree,27,2440163239998970881,0.0,0.3,0,18,248
27,QuadTree,28,4360914781284868792,0.0,0.3,0,18,243
28,QuadTree,29,3630507381476877187,0.0,0.3,0,18,210
29,QuadTree,30,8803386724306231915,0.0,0.3,0,18,246
30,QuadTree,31,529416144729368175,0.0,0.4,0,18,278
31,QuadTree,32,3302916424407910745,0.0,0.4,0,18,268
32,QuadTree,33,7270368722021683965,0.0,0.4,0,18,288
33,QuadTree,34,787977187255625337,0.0,0.4,0,18,261
34,QuadTree,35,8673779154507073718,0.0,0.4,0,18,274
35,QuadTree,36,2907446571418917920,0.0,0.4,0,18,269
36,QuadTree,37,7769491283369387324,0.0,0.4,0,18,281
37,QuadTree,38,122077049887370444,0.0,0.4,0,18,280
38,QuadTree,39,2587391191269711529,0.0,0.4,0,18,270
39,QuadTree,40,5112413900561284087,0.0,0.4,0,18,282
40,QuadTree,41,8909426792926036062,0.0,0.5,0,18,307
41,QuadTree,42,5467837947904757478,0.0,0.5,0,18,315
42,QuadTree,43,4323965874383714557,0.0,0.5,0,18,320
43,QuadTree,44,4014707725544663938,0.0,0.5,0,18,312
44,QuadTree,45,7923196244295401981,0.0,0.5,0,18,353
