,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
0,RandomFixed,1,880879381715801850,0.0,0.1,0,32,117
1,RandomFixed,2,1726760884372734954,0.0,0.1,0,32,124
2,RandomFixed,3,4258223208824758363,0.0,0.1,0,32,115
3,RandomFixed,4,2933576904639372249,0.0,0.1,0,32,121
4,RandomFixed,5,1619482046725515514,0.0,0.1,0,32,124
5,RandomFixed,6,8295202924942681088,0.0,0.1,0,32,117
6,RandomFixed,7,6220178296303381513,0.0,0.1,0,32,117
7,RandomFixed,8,6524421527956593628,0.0,0.1,0,32,103
8,RandomFixed,9,1279641774440027009,0.0,0.1,0,32,104
9,RandomFixed,10,7094737511858396355,0.0,0.1,0,32,124
10,RandomFixed,11,7842193693029557975,0.0,0.2,0,32,190
11,RandomFixed,12,2392680491109428476,0.0,0.2,0,31,153
12,RandomFixed,13,3866198558357324097,0.0,0.2,0,32,178
13,RandomFixed,14,1395931845597272999,0.0,0.2,0,32,180
14,RandomFixed,15,2411645404100907887,0.0,0.2,0,32,168
15,RandomFixed,16,3005318628866213391,0.0,0.2,0,32,170
16,RandomFixed,17,1188136200599286222,0.0,0.2,0,32,187
17,RandomFixed,18,679805008651456991,0.0,0.2,0,32,190
18,RandomFixed,19,2317393341493435360,0.0,0.2,0,32,167
19,RandomFixed,20,4066160913880139597,0.0,0.2,0,32,187
20,RandomFixed,21,7584476204436865402,0.0,0.3,0,32,210
21,RandomFixed,22,2765986266126801683,0.0,0.3,0,32,258
22,RandomFixed,23,1245205721442045905,0.0,0.3,0,32,206
23,RandomFixed,24,2161808154937950825,0.0,0.3,0,32,205
24,RandomFixed,25,8239593692986775203,0.0,0.3,0,32,223
25,RandomFixed,26,2284277258169696329,0.0,0.3,0,32,237
26,RandomFixed,27,2440163239998970881,0.0,0.3,0,32,238
27,RandomFixed,28,4360914781284868792,0.0,0.3,0,32,221
28,RandomFixed,29,3630507381476877187,0.0,0.3,0,32,262
29,RandomFixed,30,8803386724306231915,0.0,0.3,0,32,226
30,RandomFixed,31,529416144729368175,0.0,0.4,0,32,277
31,RandomFixed,32,3302916424407910745,0.0,0.4,0,31,283
32,RandomFixed,33,7270368722021683965,0.0,0.4,0,32,267
33,RandomFixed,34,787977187255625337,0.0,0.4,0,31,252
34,RandomFixed,35,8673779154507073718,0.0,0.4,0,32,253
35,RandomFixed,36,2907446571418917920,0.0,0.4,0,32,251
36,RandomFixed,37,7769491283369387324,0.0,0.4,0,32,228
37,RandomFixed,38,122077049887370444,0.0,0.4,0,32,280
