,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
0,RandomTasks,1,1726760884372734954,0.0,0.6,0.6,22,477
1,RandomTasks,2,4258223208824758363,0.0,0.6,0.6,18,463
2,RandomTasks,3,2933576904639372249,0.0,0.6,0.6,17,481
3,RandomTasks,4,1619482046725515514,0.0,0.6,0.6,22,455
4,RandomTasks,5,8295202924942681088,0.0,0.6,0.6,19,484
5,RandomTasks,6,6220178296303381513,0.0,0.6,0.6,23,467
6,RandomTasks,7,6524421527956593628,0.0,0.6,0.6,19,432
7,RandomTasks,8,1279641774440027009,0.0,0.6,0.6,19,443
8,RandomTasks,9,7094737511858396355,0.0,0.6,0.6,21,473
9,RandomTasks,10,7842193693029557975,0.0,0.6,0.6,21,447
10,RandomTasks,11,2392680491109428476,0.0,0.6,0.6,15,448
11,RandomTasks,12,3866198558357324097,0.1,0.6,0.6,16,460
12,RandomTasks,13,1395931845597272999,0.1,0.6,0.6,19,444
13,RandomTasks,14,2411645404100907887,0.1,0.6,0.6,20,421
14,RandomTasks,15,3005318628866213391,0.1,0.6,0.6,23,442
15,RandomTasks,16,1188136200599286222,0.1,0.6,0.6,19,451
16,RandomTasks,17,679805008651456991,0.1,0.6,0.6,19,443
17,RandomTasks,18,2317393341493435360,0.1,0.6,0.6,19,454
18,RandomTasks,19,4066160913880139597,0.1,0.6,0.6,23,453
19,RandomTasks,20,7584476204436865402,0.1,0.6,0.6,23,426
20,RandomTasks,21,2765986266126801683,0.1,0.6,0.6,22,474
21,RandomTasks,22,1245205721442045905,0.1,0.6,0.6,16,458
22,RandomTasks,23,2161808154937950825,0.1,0.6,0.6,17,451
23,RandomTasks,24,8239593692986775203,0.2,0.6,0.6,15,433
24,RandomTasks,25,2284277258169696329,0.2,0.6,0.6,13,423
25,RandomTasks,26,2440163239998970881,0.2,0.6,0.6,14,448
26,RandomTasks,27,4360914781284868792,0.2,0.6,0.6,19,467
27,RandomTasks,28,3630507381476877187,0.2,0.6,0.6,17,425
28,RandomTasks,29,8803386724306231915,0.2,0.6,0.6,14,447
29,RandomTasks,30,529416144729368175,0.2,0.6,0.6,13,449
30,RandomTasks,31,3302916424407910745,0.2,0.6,0.6,19,430
31,RandomTasks,32,7270368722021683965,0.2,0.6,0.6,23,458
32,RandomTasks,33,8673779154507073718,0.2,0.6,0.6,18,467
33,RandomTasks,34,2907446571418917920,0.2,0.6,0.6,20,453
34,RandomTasks,35,7769491283369387324,0.3,0.6,0.6,18,430
35,RandomTasks,36,122077049887370444,0.3,0.6,0.6,20,424
36,RandomTasks,37,2587391191269711529,0.3,0.6,0.6,24,437
37,RandomTasks,38,5112413900561284087,0.3,0.6,0.6,23,450
38,RandomTasks,39,8909426792926036062,0.3,0.6,0.6,20,446
39,RandomTasks,40,5467837947904757478,0.3,0.6,0.6,18,422
40,RandomTasks,41,4323965874383714557,0.3,0.6,0.6,22,423
41,RandomTasks,42,4014707725544663938,0.3,0.6,0.6,17,437
42,RandomTasks,43,7923196244295401981,0.3,0.6,0.6,20,437
43,RandomTasks,44,4396924318845862625,0.3,0.6,0.6,24,397
44,RandomTasks,45,8227237384670574107,0.3,0.6,0.6,18,445
45,RandomTasks,46,3151921114294514948,0.3,0.6,0.6,16,434
46,RandomTasks,47,8326381495796212454,0.4,0.6,0.6,19,430
47,RandomTasks,48,2023882813118053516,0.4,0.6,0.6,21,439
48,RandomTasks,49,4147193246553292593,0.4,0.6,0.6,17,403
49,RandomTasks,50,2044415532737913891,0.4,0.6,0.6,29,450
50,RandomTasks,51,2611022133476534924,0.4,0.6,0.6,17,426
51,RandomTasks,52,8036839688833032857,0.4,0.6,0.6,27,434
52,RandomTasks,53,8267778711096569100,0.4,0.6,0.6,23,444
53,RandomTasks,54,8012970576373185931,0.4,0.6,0.6,18,449
54,RandomTasks,55,4333162774557503791,0.4,0.6,0.6,20,391
55,RandomTasks,56,6684107978673260553,0.4,0.6,0.6,23,420
56,RandomTasks,57,5533786115979160249,0.4,0.6,0.6,18,410
57,RandomTasks,58,2159221944099802802,0.4,0.6,0.6,19,430
58,RandomTasks,59,7771862992547174936,0.5,0.6,0.6,20,391
59,RandomTasks,60,5922645555022229460,0.5,0.6,0.6,13,458
60,RandomTasks,61,2176879634217948794,0.5,0.6,0.6,18,423
61,RandomTasks,62,5077380910847103461,0.5,0.6,0.6,22,438
62,RandomTasks,63,918820051915654654,0.5,0.6,0.6,20,427
63,RandomTasks,64,7937091323527244276,0.5,0.6,0.6,18,430
64,RandomTasks,65,1316503054109710340,0.5,0.6,0.6,19,415
65,RandomTasks,66,5089406937748441115,0.5,0.6,0.6,21,402
66,RandomTasks,67,6518512397515596896,0.5,0.6,0.6,16,417
67,RandomTasks,68,2613774745543636911,0.5,0.6,0.6,20,441
68,RandomTasks,69,8892203501256106077,0.5,0.6,0.6,19,432
69,RandomTasks,70,7152306132091978418,0.6,0.6,0.6,20,436
70,RandomTasks,71,1085336730471938234,0.6,0.6,0.6,18,405
71,RandomTasks,72,7180686553944535862,0.6,0.6,0.6,17,404
72,RandomTasks,73,8067774778066009292,0.6,0.6,0.6,22,438
73,RandomTasks,74,5415241820693545611,0.6,0.6,0.6,19,401
74,RandomTasks,75,8347618600200452282,0.6,0.6,0.6,17,409
75,RandomTasks,76,8314260696208637498,0.6,0.6,0.6,20,420
76,RandomTasks,77,6231928643181144428,0.6,0.6,0.6,16,430
77,RandomTasks,78,6726036384798479501,0.6,0.6,0.6,22,431
78,RandomTasks,79,7850228651115550894,0.6,0.6,0.6,20,398
79,RandomTasks,80,1435315546960868936,0.6,0.6,0.6,21,411
80,RandomTasks,81,7910028235613076763,0.6,0.6,0.6,22,400
81,RandomTasks,82,3648578845013148747,0.7,0.6,0.6,21,406
82,RandomTasks,83,4360616670248410551,0.7,0.6,0.6,17,432
83,RandomTasks,84,1967146709294496626,0.7,0.6,0.6,19,417
84,RandomTasks,85,5544519997493579024,0.7,0.6,0.6,21,377
85,RandomTasks,86,8457728813143501131,0.7,0.6,0.6,19,399
86,RandomTasks,87,6376101120045082080,0.7,0.6,0.6,16,402
87,RandomTasks,88,7909214542224020798,0.7,0.6,0.6,20,382
88,RandomTasks,89,3842674347991993996,0.7,0.6,0.6,17,408
89,RandomTasks,90,1796160489603231124,0.7,0.6,0.6,22,403
90,RandomTasks,91,6225431315032175363,0.7,0.6,0.6,14,400
91,RandomTasks,92,6988013564169465681,0.7,0.6,0.6,21,411
92,RandomTasks,93,7289755218735189402,0.7,0.6,0.6,15,408
93,RandomTasks,94,1223023882101116390,0.8,0.6,0.6,24,395
94,RandomTasks,95,1872217177666212782,0.8,0.6,0.6,21,407
95,RandomTasks,96,649294613152767581,0.8,0.6,0.6,22,377
96,RandomTasks,97,2730769366622846191,0.8,0.6,0.6,20,387
97,RandomTasks,98,8122135727775352591,0.8,0.6,0.6,21,401
98,RandomTasks,99,6408208360066876943,0.8,0.6,0.6,22,378
99,RandomTasks,100,7352277596418142374,0.8,0.6,0.6,21,383
100,RandomTasks,101,5117226961052674361,0.8,0.6,0.6,18,376
101,RandomTasks,102,4588890379691784188,0.8,0.6,0.6,22,411
102,RandomTasks,103,6459015322564901664,0.8,0.6,0.6,21,381
103,RandomTasks,104,7837221478937801090,0.8,0.6,0.6,22,376
104,RandomTasks,105,3827705389464461497,0.9,0.6,0.6,19,396
105,RandomTasks,106,3406450873903873254,0.9,0.6,0.6,19,417
106,RandomTasks,107,6620002322455467055,0.9,0.6,0.6,26,373
107,RandomTasks,108,6739882615604243062,0.9,0.6,0.6,21,371
108,RandomTasks,109,4018421906208245931,0.9,0.6,0.6,19,373
109,RandomTasks,110,5375588602576824032,0.9,0.6,0.6,19,410
110,RandomTasks,111,6418971901351527182,0.9,0.6,0.6,19,383
111,RandomTasks,112,6995636730645982927,0.9,0.6,0.6,23,398
112,RandomTasks,113,8341824957984577980,0.9,0.6,0.6,18,372
113,RandomTasks,114,257079357768246090,0.9,0.6,0.6,18,404
114,RandomTasks,115,8457442689693583145,0.9,0.6,0.6,25,376
115,RandomTasks,116,9214454362203808878,0.9,0.6,0.6,19,383
116,RandomTasks,117,9171226480073045500,1.0,0.6,0.6,18,362
117,RandomTasks,118,2124060430823971808,1.0,0.6,0.6,22,373
118,RandomTasks,119,7216859551928059389,1.0,0.6,0.6,19,372
119,RandomTasks,120,9095234008697279652,1.0,0.6,0.6,17,378
120,RandomTasks,121,1059637217287277730,1.0,0.6,0.6,20,379
121,RandomTasks,122,3810914654779374324,1.0,0.6,0.6,18,358
122,RandomTasks,123,7719565551173098335,1.0,0.6,0.6,22,372
123,RandomTasks,124,2534101954754249655,1.0,0.6,0.6,21,369
124,RandomTasks,125,6540218314516795143,1.0,0.6,0.6,17,367
125,RandomTasks,126,672300978698827014,1.0,0.6,0.6,19,353
126,RandomTasks,127,1962829301431012585,1.0,0.6,0.6,22,388
