,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
0,SmgTaskQueue,1,880879381715801850,0.0,0.1,0.1,23,169
1,SmgTaskQueue,2,1726760884372734954,0.0,0.1,0.2,18,231
2,SmgTaskQueue,3,4258223208824758363,0.0,0.1,0.3,18,285
3,SmgTaskQueue,4,2933576904639372249,0.0,0.1,0.4,26,338
4,SmgTaskQueue,5,1619482046725515514,0.0,0.1,0.5,15,383
5,SmgTaskQueue,6,8295202924942681088,0.0,0.1,0.6,19,408
6,SmgTaskQueue,7,6220178296303381513,0.0,0.1,0.7,14,410
7,SmgTaskQueue,8,6524421527956593628,0.0,0.1,0.8,22,441
8,SmgTaskQueue,9,1279641774440027009,0.0,0.1,0.9,13,501
9,SmgTaskQueue,10,7094737511858396355,0.0,0.1,1.0,16,544
10,SmgTaskQueue,11,7842193693029557975,0.0,0.2,0.1,15,244
11,SmgTaskQueue,12,2392680491109428476,0.0,0.2,0.2,16,263
12,SmgTaskQueue,13,3866198558357324097,0.0,0.2,0.3,17,306
13,SmgTaskQueue,14,1395931845597272999,0.0,0.2,0.4,24,326
14,SmgTaskQueue,15,2411645404100907887,0.0,0.2,0.5,15,380
15,SmgTaskQueue,16,3005318628866213391,0.0,0.2,0.6,28,419
16,SmgTaskQueue,17,1188136200599286222,0.0,0.2,0.7,19,418
17,SmgTaskQueue,18,679805008651456991,0.0,0.2,0.8,18,438
18,SmgTaskQueue,19,2317393341493435360,0.0,0.2,0.9,23,500
19,SmgTaskQueue,20,4066160913880139597,0.0,0.2,1.0,8,499
20,SmgTaskQueue,21,7584476204436865402,0.0,0.3,0.1,25,272
21,SmgTaskQueue,22,2765986266126801683,0.0,0.3,0.2,32,317
22,SmgTaskQueue,23,1245205721442045905,0.0,0.3,0.3,9,338
23,SmgTaskQueue,24,2161808154937950825,0.0,0.3,0.4,19,406
24,SmgTaskQueue,25,8239593692986775203,0.0,0.3,0.5,25,352
25,SmgTaskQueue,26,2284277258169696329,0.0,0.3,0.6,15,407
26,SmgTaskQueue,27,2440163239998970881,0.0,0.3,0.7,20,451
27,SmgTaskQueue,28,4360914781284868792,0.0,0.3,0.8,31,480
28,SmgTaskQueue,29,3630507381476877187,0.0,0.3,0.9,15,458
29,SmgTaskQueue,30,8803386724306231915,0.0,0.3,1.0,20,505
30,SmgTaskQueue,31,529416144729368175,0.0,0.4,0.1,29,314
31,SmgTaskQueue,32,3302916424407910745,0.0,0.4,0.2,9,371
32,SmgTaskQueue,33,7270368722021683965,0.0,0.4,0.3,24,359
33,SmgTaskQueue,34,787977187255625337,0.0,0.4,0.4,21,378
34,SmgTaskQueue,35,8673779154507073718,0.0,0.4,0.5,18,427
35,SmgTaskQueue,36,2907446571418917920,0.0,0.4,0.6,31,420
36,SmgTaskQueue,37,7769491283369387324,0.0,0.4,0.7,21,457
37,SmgTaskQueue,38,122077049887370444,0.0,0.4,0.8,9,493
38,SmgTaskQueue,39,2587391191269711529,0.0,0.4,0.9,22,520
39,SmgTaskQueue,40,5112413900561284087,0.0,0.4,1.0,22,516
40,SmgTaskQueue,41,8909426792926036062,0.0,0.5,0.1,29,356
41,SmgTaskQueue,42,5467837947904757478,0.0,0.5,0.2,22,393
42,SmgTaskQueue,43,4323965874383714557,0.0,0.5,0.3,25,428
43,SmgTaskQueue,44,4014707725544663938,0.0,0.5,0.4,20,414
44,SmgTaskQueue,45,7923196244295401981,0.0,0.5,0.5,23,455
45,SmgTaskQueue,46,4396924318845862625,0.0,0.5,0.6,20,457
46,SmgTaskQueue,47,8227237384670574107,0.0,0.5,0.7,20,445
47,SmgTaskQueue,48,3151921114294514948,0.0,0.5,0.8,27,474
48,SmgTaskQueue,49,8326381495796212454,0.0,0.5,0.9,26,519
49,SmgTaskQueue,50,2023882813118053516,0.0,0.5,1.0,21,513
50,SmgTaskQueue,51,4147193246553292593,0.0,0.6,0.1,22,357
51,SmgTaskQueue,52,2044415532737913891,0.0,0.6,0.2,31,414
52,SmgTaskQueue,53,2611022133476534924,0.0,0.6,0.3,29,461
53,SmgTaskQueue,54,8036839688833032857,0.0,0.6,0.4,20,423
54,SmgTaskQueue,55,8267778711096569100,0.0,0.6,0.5,11,446
55,SmgTaskQueue,56,8012970576373185931,0.0,0.6,0.6,29,467
56,SmgTaskQueue,57,4333162774557503791,0.0,0.6,0.7,27,470
57,SmgTaskQueue,58,6684107978673260553,0.0,0.6,0.8,23,510
58,SmgTaskQueue,59,5533786115979160249,0.0,0.6,0.9,20,516
59,SmgTaskQueue,60,2159221944099802802,0.0,0.6,1.0,25,516
60,SmgTaskQueue,61,7771862992547174936,0.0,0.7,0.1,22,414
61,SmgTaskQueue,62,5922645555022229460,0.0,0.7,0.2,27,445
62,SmgTaskQueue,63,2176879634217948794,0.0,0.7,0.3,30,423
63,SmgTaskQueue,64,5077380910847103461,0.0,0.7,0.4,11,457
64,SmgTaskQueue,65,918820051915654654,0.0,0.7,0.5,17,479
65,SmgTaskQueue,66,7937091323527244276,0.0,0.7,0.6,22,444
66,SmgTaskQueue,67,7420433426593050270,0.0,0.7,0.7,27,472
67,SmgTaskQueue,68,1316503054109710340,0.0,0.7,0.8,20,500
68,SmgTaskQueue,69,5089406937748441115,0.0,0.7,0.9,27,493
69,SmgTaskQueue,70,6518512397515596896,0.0,0.7,1.0,20,509
70,SmgTaskQueue,71,2613774745543636911,0.0,0.8,0.1,25,487
71,SmgTaskQueue,72,8892203501256106077,0.0,0.8,0.2,18,480
72,SmgTaskQueue,73,7152306132091978418,0.0,0.8,0.3,25,469
73,SmgTaskQueue,74,1085336730471938234,0.0,0.8,0.4,17,454
74,SmgTaskQueue,75,7180686553944535862,0.0,0.8,0.5,29,464
75,SmgTaskQueue,76,8067774778066009292,0.0,0.8,0.6,15,494
76,SmgTaskQueue,77,5415241820693545611,0.0,0.8,0.7,17,492
77,SmgTaskQueue,78,8347618600200452282,0.0,0.8,0.8,21,511
78,SmgTaskQueue,79,8314260696208637498,0.0,0.8,0.9,19,485
79,SmgTaskQueue,80,6231928643181144428,0.0,0.8,1.0,21,516
80,SmgTaskQueue,81,6726036384798479501,0.0,0.9,0.1,19,511
81,SmgTaskQueue,82,7850228651115550894,0.0,0.9,0.2,22,450
82,SmgTaskQueue,83,1435315546960868936,0.0,0.9,0.3,20,488
83,SmgTaskQueue,84,7910028235613076763,0.0,0.9,0.4,25,473
84,SmgTaskQueue,85,3648578845013148747,0.0,0.9,0.5,27,519
85,SmgTaskQueue,86,4360616670248410551,0.0,0.9,0.6,21,484
86,SmgTaskQueue,87,1967146709294496626,0.0,0.9,0.7,14,508
87,SmgTaskQueue,88,5544519997493579024,0.0,0.9,0.8,16,483
88,SmgTaskQueue,89,8457728813143501131,0.0,0.9,0.9,28,514
89,SmgTaskQueue,90,6376101120045082080,0.0,0.9,1.0,29,512
90,SmgTaskQueue,91,7909214542224020798,0.0,1.0,0.1,24,514
91,SmgTaskQueue,92,3842674347991993996,0.0,1.0,0.2,26,491
92,SmgTaskQueue,93,1796160489603231124,0.0,1.0,0.3,11,467
93,SmgTaskQueue,94,6225431315032175363,0.0,1.0,0.4,30,529
94,SmgTaskQueue,95,6988013564169465681,0.0,1.0,0.5,23,507
95,SmgTaskQueue,96,7289755218735189402,0.0,1.0,0.6,25,497
96,SmgTaskQueue,97,1223023882101116390,0.0,1.0,0.7,23,491
97,SmgTaskQueue,98,1872217177666212782,0.0,1.0,0.8,14,542
98,SmgTaskQueue,99,649294613152767581,0.0,1.0,0.9,17,504
99,SmgTaskQueue,100,1060518134331528449,0.0,1.0,1.0,11,520
100,SmgTaskQueue,101,2730769366622846191,0.1,0.1,0.1,20,180
101,SmgTaskQueue,102,8122135727775352591,0.1,0.1,0.2,23,239
102,SmgTaskQueue,103,6408208360066876943,0.1,0.1,0.3,24,275
103,SmgTaskQueue,104,7352277596418142374,0.1,0.1,0.4,22,303
104,SmgTaskQueue,105,5117226961052674361,0.1,0.1,0.5,12,346
105,SmgTaskQueue,106,4588890379691784188,0.1,0.1,0.6,24,394
106,SmgTaskQueue,107,6459015322564901664,0.1,0.1,0.7,19,439
107,SmgTaskQueue,108,7837221478937801090,0.1,0.1,0.8,21,460
108,SmgTaskQueue,109,3827705389464461497,0.1,0.1,0.9,21,490
109,SmgTaskQueue,110,3406450873903873254,0.1,0.1,1.0,23,526
110,SmgTaskQueue,111,6620002322455467055,0.1,0.2,0.1,27,219
111,SmgTaskQueue,112,6739882615604243062,0.1,0.2,0.2,18,253
112,SmgTaskQueue,113,4018421906208245931,0.1,0.2,0.3,9,305
113,SmgTaskQueue,114,5375588602576824032,0.1,0.2,0.4,28,345
114,SmgTaskQueue,115,6418971901351527182,0.1,0.2,0.5,19,374
115,SmgTaskQueue,116,6995636730645982927,0.1,0.2,0.6,24,374
116,SmgTaskQueue,117,8341824957984577980,0.1,0.2,0.7,16,399
117,SmgTaskQueue,118,257079357768246090,0.1,0.2,0.8,25,473
118,SmgTaskQueue,119,8457442689693583145,0.1,0.2,0.9,22,484
119,SmgTaskQueue,120,9214454362203808878,0.1,0.2,1.0,19,501
120,SmgTaskQueue,121,9171226480073045500,0.1,0.3,0.1,25,283
121,SmgTaskQueue,122,2124060430823971808,0.1,0.3,0.2,25,299
122,SmgTaskQueue,123,7216859551928059389,0.1,0.3,0.3,22,356
123,SmgTaskQueue,124,9095234008697279652,0.1,0.3,0.4,23,352
