,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
0,SmgTrackingLong,1,880879381715801850,0.0,0.1,0.1,17,168
1,SmgTrackingLong,2,1726760884372734954,0.0,0.1,0.2,28,216
2,SmgTrackingLong,3,4258223208824758363,0.0,0.1,0.3,11,239
3,SmgTrackingLong,4,2933576904639372249,0.0,0.1,0.4,22,271
4,SmgTrackingLong,5,1619482046725515514,0.0,0.1,0.5,28,305
5,SmgTrackingLong,6,8295202924942681088,0.0,0.1,0.6,13,304
6,SmgTrackingLong,7,6220178296303381513,0.0,0.1,0.7,21,338
7,SmgTrackingLong,8,6524421527956593628,0.0,0.1,0.8,23,370
8,SmgTrackingLong,9,1279641774440027009,0.0,0.1,0.9,21,386
9,SmgTrackingLong,10,7094737511858396355,0.0,0.1,1.0,17,425
10,SmgTrackingLong,11,7842193693029557975,0.0,0.2,0.1,13,231
11,SmgTrackingLong,12,2392680491109428476,0.0,0.2,0.2,15,240
12,SmgTrackingLong,13,3866198558357324097,0.0,0.2,0.3,16,277
13,SmgTrackingLong,14,1395931845597272999,0.0,0.2,0.4,23,342
14,SmgTrackingLong,15,2411645404100907887,0.0,0.2,0.5,18,325
15,SmgTrackingLong,16,3005318628866213391,0.0,0.2,0.6,17,373
16,SmgTrackingLong,17,1188136200599286222,0.0,0.2,0.7,21,362
17,SmgTrackingLong,18,679805008651456991,0.0,0.2,0.8,20,385
18,SmgTrackingLong,19,2317393341493435360,0.0,0.2,0.9,10,386
19,SmgTrackingLong,20,4066160913880139597,0.0,0.2,1.0,20,417
20,SmgTrackingLong,21,7584476204436865402,0.0,0.3,0.1,22,268
21,SmgTrackingLong,22,2765986266126801683,0.0,0.3,0.2,26,270
22,SmgTrackingLong,23,1245205721442045905,0.0,0.3,0.3,13,320
23,SmgTrackingLong,24,2161808154937950825,0.0,0.3,0.4,9,322
24,SmgTrackingLong,25,8239593692986775203,0.0,0.3,0.5,23,343
25,SmgTrackingLong,26,2284277258169696329,0.0,0.3,0.6,20,338
26,SmgTrackingLong,27,2440163239998970881,0.0,0.3,0.7,10,371
27,SmgTrackingLong,28,4360914781284868792,0.0,0.3,0.8,10,421
28,SmgTrackingLong,29,3630507381476877187,0.0,0.3,0.9,29,385
29,SmgTrackingLong,30,8803386724306231915,0.0,0.3,1.0,22,403
30,SmgTrackingLong,31,529416144729368175,0.0,0.4,0.1,23,318
31,SmgTrackingLong,32,3302916424407910745,0.0,0.4,0.2,25,333
32,SmgTrackingLong,33,7270368722021683965,0.0,0.4,0.3,29,350
33,SmgTrackingLong,34,787977187255625337,0.0,0.4,0.4,20,325
34,SmgTrackingLong,35,8673779154507073718,0.0,0.4,0.5,17,320
35,SmgTrackingLong,36,2907446571418917920,0.0,0.4,0.6,13,364
36,SmgTrackingLong,37,7769491283369387324,0.0,0.4,0.7,22,390
37,SmgTrackingLong,38,122077049887370444,0.0,0.4,0.8,14,381
38,SmgTrackingLong,39,2587391191269711529,0.0,0.4,0.9,19,391
39,SmgTrackingLong,40,5112413900561284087,0.0,0.4,1.0,26,391
40,SmgTrackingLong,41,8909426792926036062,0.0,0.5,0.1,9,351
41,SmgTrackingLong,42,5467837947904757478,0.0,0.5,0.2,18,371
42,SmgTrackingLong,43,4323965874383714557,0.0,0.5,0.3,24,370
43,SmgTrackingLong,44,4014707725544663938,0.0,0.5,0.4,24,379
44,SmgTrackingLong,45,7923196244295401981,0.0,0.5,0.5,28,387
45,SmgTrackingLong,46,4396924318845862625,0.0,0.5,0.6,13,376
46,SmgTrackingLong,47,8227237384670574107,0.0,0.5,0.7,23,372
47,SmgTrackingLong,48,3151921114294514948,0.0,0.5,0.8,15,425
48,SmgTrackingLong,49,8326381495796212454,0.0,0.5,0.9,21,397
49,SmgTrackingLong,50,2023882813118053516,0.0,0.5,1.0,25,387
50,SmgTrackingLong,51,4147193246553292593,0.0,0.6,0.1,15,377
51,SmgTrackingLong,52,2044415532737913891,0.0,0.6,0.2,20,381
52,SmgTrackingLong,53,2611022133476534924,0.0,0.6,0.3,18,407
53,SmgTrackingLong,54,8036839688833032857,0.0,0.6,0.4,25,400
54,SmgTrackingLong,55,8267778711096569100,0.0,0.6,0.5,17,411
55,SmgTrackingLong,56,8012970576373185931,0.0,0.6,0.6,16,392
56,SmgTrackingLong,57,4333162774557503791,0.0,0.6,0.7,19,406
57,SmgTrackingLong,58,6684107978673260553,0.0,0.6,0.8,18,410
58,SmgTrackingLong,59,5533786115979160249,0.0,0.6,0.9,31,441
59,SmgTrackingLong,60,2159221944099802802,0.0,0.6,1.0,22,397
60,SmgTrackingLong,61,7771862992547174936,0.0,0.7,0.1,20,409
61,SmgTrackingLong,62,5922645555022229460,0.0,0.7,0.2,21,408
62,SmgTrackingLong,63,2176879634217948794,0.0,0.7,0.3,15,404
63,SmgTrackingLong,64,5077380910847103461,0.0,0.7,0.4,14,413
64,SmgTrackingLong,65,918820051915654654,0.0,0.7,0.5,22,421
65,SmgTrackingLong,66,7937091323527244276,0.0,0.7,0.6,17,398
66,SmgTrackingLong,67,7420433426593050270,0.0,0.7,0.7,19,418
67,SmgTrackingLong,68,1316503054109710340,0.0,0.7,0.8,11,412
68,SmgTrackingLong,69,5089406937748441115,0.0,0.7,0.9,14,410
69,SmgTrackingLong,70,6518512397515596896,0.0,0.7,1.0,19,419
70,SmgTrackingLong,71,2613774745543636911,0.0,0.8,0.1,17,420
71,SmgTrackingLong,72,8892203501256106077,0.0,0.8,0.2,25,462
72,SmgTrackingLong,73,7152306132091978418,0.0,0.8,0.3,23,477
73,SmgTrackingLong,74,1085336730471938234,0.0,0.8,0.4,24,430
74,SmgTrackingLong,75,7180686553944535862,0.0,0.8,0.5,14,412
75,SmgTrackingLong,76,8067774778066009292,0.0,0.8,0.6,18,435
76,SmgTrackingLong,77,5415241820693545611,0.0,0.8,0.7,18,423
77,SmgTrackingLong,78,8347618600200452282,0.0,0.8,0.8,19,441
78,SmgTrackingLong,79,8314260696208637498,0.0,0.8,0.9,14,414
79,SmgTrackingLong,80,6231928643181144428,0.0,0.8,1.0,14,425
80,SmgTrackingLong,81,6726036384798479501,0.0,0.9,0.1,26,480
81,SmgTrackingLong,82,7850228651115550894,0.0,0.9,0.2,24,434
82,SmgTrackingLong,83,1435315546960868936,0.0,0.9,0.3,28,449
83,SmgTrackingLong,84,7910028235613076763,0.0,0.9,0.4,14,444
84,SmgTrackingLong,85,3648578845013148747,0.0,0.9,0.5,27,421
85,SmgTrackingLong,86,4360616670248410551,0.0,0.9,0.6,26,453
86,SmgTrackingLong,87,1967146709294496626,0.0,0.9,0.7,15,444
87,SmgTrackingLong,88,5544519997493579024,0.0,0.9,0.8,15,398
88,SmgTrackingLong,89,8457728813143501131,0.0,0.9,0.9,18,397
89,SmgTrackingLong,90,6376101120045082080,0.0,0.9,1.0,7,413
90,SmgTrackingLong,91,7909214542224020798,0.0,1.0,0.1,19,493
91,SmgTrackingLong,92,3842674347991993996,0.0,1.0,0.2,17,474
92,SmgTrackingLong,93,1796160489603231124,0.0,1.0,0.3,23,487
93,SmgTrackingLong,94,6225431315032175363,0.0,1.0,0.4,19,466
94,SmgTrackingLong,95,6988013564169465681,0.0,1.0,0.5,18,428
95,SmgTrackingLong,96,7289755218735189402,0.0,1.0,0.6,31,454
96,SmgTrackingLong,97,1223023882101116390,0.0,1.0,0.7,8,419
97,SmgTrackingLong,98,1872217177666212782,0.0,1.0,0.8,17,464
98,SmgTrackingLong,99,649294613152767581,0.0,1.0,0.9,20,422
99,SmgTrackingLong,100,1060518134331528449,0.0,1.0,1.0,11,412
100,SmgTrackingLong,101,2730769366622846191,0.1,0.1,0.1,15,178
101,SmgTrackingLong,102,8122135727775352591,0.1,0.1,0.2,20,210
102,SmgTrackingLong,103,6408208360066876943,0.1,0.1,0.3,25,253
103,SmgTrackingLong,104,7352277596418142374,0.1,0.1,0.4,12,296
104,SmgTrackingLong,105,5117226961052674361,0.1,0.1,0.5,15,314
105,SmgTrackingLong,106,4588890379691784188,0.1,0.1,0.6,23,349
106,SmgTrackingLong,107,6459015322564901664,0.1,0.1,0.7,14,349
107,SmgTrackingLong,108,7837221478937801090,0.1,0.1,0.8,19,391
108,SmgTrackingLong,109,3827705389464461497,0.1,0.1,0.9,21,376
109,SmgTrackingLong,110,3406450873903873254,0.1,0.1,1.0,16,425
110,SmgTrackingLong,111,6620002322455467055,0.1,0.2,0.1,17,233
111,SmgTrackingLong,112,6739882615604243062,0.1,0.2,0.2,16,240
112,SmgTrackingLong,113,4018421906208245931,0.1,0.2,0.3,17,284
113,SmgTrackingLong,114,5375588602576824032,0.1,0.2,0.4,13,325
114,SmgTrackingLong,115,6418971901351527182,0.1,0.2,0.5,16,341
115,SmgTrackingLong,116,6995636730645982927,0.1,0.2,0.6,11,357
116,SmgTrackingLong,117,8341824957984577980,0.1,0.2,0.7,19,352
117,SmgTrackingLong,118,257079357768246090,0.1,0.2,0.8,16,355
118,SmgTrackingLong,119,8457442689693583145,0.1,0.2,0.9,24,375
119,SmgTrackingLong,120,9214454362203808878,0.1,0.2,1.0,21,371
120,SmgTrackingLong,121,9171226480073045500,0.1,0.3,0.1,28,264
121,SmgTrackingLong,122,2124060430823971808,0.1,0.3,0.2,26,285
122,SmgTrackingLong,123,7216859551928059389,0.1,0.3,0.3,13,298
123,SmgTrackingLong,124,9095234008697279652,0.1,0.3,0.4,13,319
124,SmgTrackingLong,125,1059637217287277730,0.1,0.3,0.5,23,357
125,SmgTrackingLong,126,3810914654779374324,0.1,0.3,0.6,24,348
126,SmgTrackingLong,127,7719565551173098335,0.1,0.3,0.7,19,401
127,SmgTrackingLong,128,2534101954754249655,0.1,0.3,0.8,25,366
128,SmgTrackingLong,129,6540218314516795143,0.1,0.3,0.9,23,369
129,SmgTrackingLong,130,672300978698827014,0.1,0.3,1.0,19,412
130,SmgTrackingLong,131,1962829301431012585,0.1,0.4,0.1,12,298
131,SmgTrackingLong,132,2542084654357450284,0.1,0.4,0.2,25,296
132,SmgTrackingLong,133,3531229301267406905,0.1,0.4,0.3,16,362
133,SmgTrackingLong,134,8378617453138610642,0.1,0.4,0.4,16,363
134,SmgTrackingLong,135,8031027381734740768,0.1,0.4,0.5,17,366
135,SmgTrackingLong,136,1047251156505272932,0.1,0.4,0.6,20,378
136,SmgTrackingLong,137,2005958320967276369,0.1,0.4,0.7,14,374
137,SmgTrackingLong,138,5464963834076408523,0.1,0.4,0.8,16,415
138,SmgTrackingLong,139,6442468486730396666,0.1,0.4,0.9,26,406
