,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
0,SmgWalk,1,1726760884372734954,0.0,0.6,0.6,10,341,0.2493
1,SmgWalk,2,4258223208824758363,0.0,0.6,0.6,12,330,0.2502
2,SmgWalk,3,2933576904639372249,0.0,0.6,0.6,12,337,0.2498
3,SmgWalk,4,1619482046725515514,0.0,0.6,0.6,5,334,0.2677
4,SmgWalk,5,8295202924942681088,0.0,0.6,0.6,13,326,0.2531
5,SmgWalk,6,6220178296303381513,0.0,0.6,0.6,9,311,0.2547
6,SmgWalk,7,6524421527956593628,0.0,0.6,0.6,10,306,0.2662
7,SmgWalk,8,1279641774440027009,0.0,0.6,0.6,9,318,0.2565
8,SmgWalk,9,7094737511858396355,0.0,0.6,0.6,12,305,0.2478
9,SmgWalk,10,7842193693029557975,0.0,0.6,0.6,12,318,0.2508
10,SmgWalk,11,2392680491109428476,0.0,0.6,0.6,9,302,0.2646
11,SmgWalk,12,3866198558357324097,0.1,0.6,0.6,11,305,0.2494
12,SmgWalk,13,1395931845597272999,0.1,0.6,0.6,8,281,0.2521
13,SmgWalk,14,2411645404100907887,0.1,0.6,0.6,10,305,0.2457
14,SmgWalk,15,3005318628866213391,0.1,0.6,0.6,12,306,0.25
15,SmgWalk,16,1188136200599286222,0.1,0.6,0.6,12,312,0.2467
16,SmgWalk,17,679805008651456991,0.1,0.6,0.6,11,309,0.25
17,SmgWalk,18,2317393341493435360,0.1,0.6,0.6,12,308,0.2439
18,SmgWalk,19,4066160913880139597,0.1,0.6,0.6,10,341,0.2611
19,SmgWalk,20,7584476204436865402,0.1,0.6,0.6,12,322,0.2496
20,SmgWalk,21,2765986266126801683,0.1,0.6,0.6,10,290,0.2538
21,SmgWalk,22,1245205721442045905,0.1,0.6,0.6,10,334,0.244
22,SmgWalk,23,2161808154937950825,0.1,0.6,0.6,11,336,0.255
23,SmgWalk,24,8239593692986775203,0.2,0.6,0.6,10,309,0.2475
24,SmgWalk,25,2284277258169696329,0.2,0.6,0.6,10,288,0.2303
25,SmgWalk,26,2440163239998970881,0.2,0.6,0.6,11,315,0.2348
26,SmgWalk,27,4360914781284868792,0.2,0.6,0.6,11,331,0.241
27,SmgWalk,28,3630507381476877187,0.2,0.6,0.6,9,300,0.2465
28,SmgWalk,29,8803386724306231915,0.2,0.6,0.6,10,325,0.2499
29,SmgWalk,30,529416144729368175,0.2,0.6,0.6,10,303,0.2342
30,SmgWalk,31,3302916424407910745,0.2,0.6,0.6,11,305,0.241
31,SmgWalk,32,7270368722021683965,0.2,0.6,0.6,8,288,0.238
32,SmgWalk,33,8673779154507073718,0.2,0.6,0.6,9,314,0.2361
33,SmgWalk,34,2907446571418917920,0.2,0.6,0.6,9,282,0.2362
34,SmgWalk,35,7769491283369387324,0.3,0.6,0.6,12,301,0.2263
35,SmgWalk,36,122077049887370444,0.3,0.6,0.6,10,293,0.2373
36,SmgWalk,37,2587391191269711529,0.3,0.6,0.6,5,338,0.241
37,SmgWalk,38,5112413900561284087,0.3,0.6,0.6,7,320,0.2299
38,SmgWalk,39,8909426792926036062,0.3,0.6,0.6,7,308,0.231
39,SmgWalk,40,5467837947904757478,0.3,0.6,0.6,9,318,0.2324
40,SmgWalk,41,4323965874383714557,0.3,0.6,0.6,7,299,0.2303
41,SmgWalk,42,4014707725544663938,0.3,0.6,0.6,7,307,0.2351
42,SmgWalk,43,7923196244295401981,0.3,0.6,0.6,9,305,0.2334
43,SmgWalk,44,4396924318845862625,0.3,0.6,0.6,11,302,0.2429
44,SmgWalk,45,8227237384670574107,0.3,0.6,0.6,12,310,0.2352
45,SmgWalk,46,3151921114294514948,0.3,0.6,0.6,9,305,0.2411
46,SmgWalk,47,8326381495796212454,0.4,0.6,0.6,8,295,0.227
47,SmgWalk,48,2023882813118053516,0.4,0.6,0.6,6,286,0.2229
48,SmgWalk,49,4147193246553292593,0.4,0.6,0.6,9,301,0.223
49,SmgWalk,50,2044415532737913891,0.4,0.6,0.6,5,277,0.234
50,SmgWalk,51,2611022133476534924,0.4,0.6,0.6,6,289,0.2315
51,SmgWalk,52,8036839688833032857,0.4,0.6,0.6,11,291,0.2287
52,SmgWalk,53,8267778711096569100,0.4,0.6,0.6,5,319,0.2385
53,SmgWalk,54,8012970576373185931,0.4,0.6,0.6,12,296,0.2244
54,SmgWalk,55,4333162774557503791,0.4,0.6,0.6,7,301,0.2324
55,SmgWalk,56,6684107978673260553,0.4,0.6,0.6,5,292,0.2281
56,SmgWalk,57,5533786115979160249,0.4,0.6,0.6,7,285,0.2217
57,SmgWalk,58,2159221944099802802,0.4,0.6,0.6,7,297,0.2336
58,SmgWalk,59,7771862992547174936,0.5,0.6,0.6,8,266,0.2161
59,SmgWalk,60,5922645555022229460,0.5,0.6,0.6,6,306,0.2199
60,SmgWalk,61,2176879634217948794,0.5,0.6,0.6,6,282,0.2285
61,SmgWalk,62,5077380910847103461,0.5,0.6,0.6,8,285,0.2224
62,SmgWalk,63,918820051915654654,0.5,0.6,0.6,8,311,0.2207
63,SmgWalk,64,7937091323527244276,0.5,0.6,0.6,9,267,0.2179
64,SmgWalk,65,1316503054109710340,0.5,0.6,0.6,9,278,0.2189
65,SmgWalk,66,5089406937748441115,0.5,0.6,0.6,7,291,0.2333
66,SmgWalk,67,6518512397515596896,0.5,0.6,0.6,6,272,0.2135
67,SmgWalk,68,2613774745543636911,0.5,0.6,0.6,9,304,0.2251
68,SmgWalk,69,8892203501256106077,0.5,0.6,0.6,9,285,0.2087
69,SmgWalk,70,7152306132091978418,0.6,0.6,0.6,7,292,0.2174
70,SmgWalk,71,1085336730471938234,0.6,0.6,0.6,8,292,0.2071
71,SmgWalk,72,7180686553944535862,0.6,0.6,0.6,7,310,0.2141
72,SmgWalk,73,8067774778066009292,0.6,0.6,0.6,9,297,0.2179
73,SmgWalk,74,5415241820693545611,0.6,0.6,0.6,10,260,0.2218
74,SmgWalk,75,8347618600200452282,0.6,0.6,0.6,10,291,0.2204
75,SmgWalk,76,8314260696208637498,0.6,0.6,0.6,10,282,0.2137
76,SmgWalk,77,6231928643181144428,0.6,0.6,0.6,13,293,0.2193
77,SmgWalk,78,6726036384798479501,0.6,0.6,0.6,6,292,0.2169
78,SmgWalk,79,7850228651115550894,0.6,0.6,0.6,5,254,0.2118
79,SmgWalk,80,1435315546960868936,0.6,0.6,0.6,5,286,0.2188
80,SmgWalk,81,7910028235613076763,0.6,0.6,0.6,7,282,0.2092
81,SmgWalk,82,3648578845013148747,0.7,0.6,0.6,8,285,0.2047
82,SmgWalk,83,4360616670248410551,0.7,0.6,0.6,9,278,0.2064
83,SmgWalk,84,1967146709294496626,0.7,0.6,0.6,4,266,0.2098
84,SmgWalk,85,5544519997493579024,0.7,0.6,0.6,4,272,0.2142
85,SmgWalk,86,8457728813143501131,0.7,0.6,0.6,7,279,0.2134
86,SmgWalk,87,6376101120045082080,0.7,0.6,0.6,13,268,0.209
87,SmgWalk,88,7909214542224020798,0.7,0.6,0.6,7,274,0.2132
88,SmgWalk,89,3842674347991993996,0.7,0.6,0.6,8,244,0.2078
89,SmgWalk,90,1796160489603231124,0.7,0.6,0.6,7,292,0.2059
90,SmgWalk,91,6225431315032175363,0.7,0.6,0.6,13,292,0.2223
91,SmgWalk,92,6988013564169465681,0.7,0.6,0.6,5,263,0.2057
92,SmgWalk,93,7289755218735189402,0.7,0.6,0.6,7,254,0.2098
93,SmgWalk,94,1223023882101116390,0.8,0.6,0.6,7,263,0.2041
94,SmgWalk,95,1872217177666212782,0.8,0.6,0.6,11,264,0.1913
95,SmgWalk,96,649294613152767581,0.8,0.6,0.6,10,269,0.1962
96,SmgWalk,97,2730769366622846191,0.8,0.6,0.6,10,259,0.1966
97,SmgWalk,98,8122135727775352591,0.8,0.6,0.6,8,258,0.1972
98,SmgWalk,99,6408208360066876943,0.8,0.6,0.6,8,251,0.1963
99,SmgWalk,100,7352277596418142374,0.8,0.6,0.6,10,242,0.2009
100,SmgWalk,101,5117226961052674361,0.8,0.6,0.6,8,276,0.2024
101,SmgWalk,102,4588890379691784188,0.8,0.6,0.6,6,256,0.1952
102,SmgWalk,103,6459015322564901664,0.8,0.6,0.6,5,248,0.1973
