,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
0,TrackingLong,1,880879381715801850,0.0,0.1,0.1,21,160
1,TrackingLong,2,1726760884372734954,0.0,0.1,0.2,16,222
2,TrackingLong,3,4258223208824758363,0.0,0.1,0.3,15,270
3,TrackingLong,4,2933576904639372249,0.0,0.1,0.4,16,291
4,TrackingLong,5,1619482046725515514,0.0,0.1,0.5,21,329
5,TrackingLong,6,8295202924942681088,0.0,0.1,0.6,20,352
6,TrackingLong,7,6220178296303381513,0.0,0.1,0.7,17,379
7,TrackingLong,8,6524421527956593628,0.0,0.1,0.8,18,455
8,TrackingLong,9,1279641774440027009,0.0,0.1,0.9,20,422
9,TrackingLong,10,7094737511858396355,0.0,0.1,1.0,14,445
10,TrackingLong,11,7842193693029557975,0.0,0.2,0.1,23,247
11,TrackingLong,12,2392680491109428476,0.0,0.2,0.2,20,279
12,TrackingLong,13,3866198558357324097,0.0,0.2,0.3,24,294
13,TrackingLong,14,1395931845597272999,0.0,0.2,0.4,26,324
14,TrackingLong,15,2411645404100907887,0.0,0.2,0.5,20,341
15,TrackingLong,16,3005318628866213391,0.0,0.2,0.6,15,381
16,TrackingLong,17,1188136200599286222,0.0,0.2,0.7,19,388
17,TrackingLong,18,679805008651456991,0.0,0.2,0.8,19,410
18,TrackingLong,19,2317393341493435360,0.0,0.2,0.9,14,397
19,TrackingLong,20,4066160913880139597,0.0,0.2,1.0,18,460
20,TrackingLong,21,7584476204436865402,0.0,0.3,0.1,20,263
21,TrackingLong,22,2765986266126801683,0.0,0.3,0.2,19,321
22,TrackingLong,23,1245205721442045905,0.0,0.3,0.3,16,318
23,TrackingLong,24,2161808154937950825,0.0,0.3,0.4,18,378
24,TrackingLong,25,8239593692986775203,0.0,0.3,0.5,17,352
25,TrackingLong,26,2284277258169696329,0.0,0.3,0.6,14,369
26,TrackingLong,27,2440163239998970881,0.0,0.3,0.7,21,398
27,TrackingLong,28,4360914781284868792,0.0,0.3,0.8,20,411
28,TrackingLong,29,3630507381476877187,0.0,0.3,0.9,20,437
29,TrackingLong,30,8803386724306231915,0.0,0.3,1.0,14,451
30,TrackingLong,31,529416144729368175,0.0,0.4,0.1,22,347
31,TrackingLong,32,3302916424407910745,0.0,0.4,0.2,19,331
32,TrackingLong,33,7270368722021683965,0.0,0.4,0.3,17,345
33,TrackingLong,34,787977187255625337,0.0,0.4,0.4,20,358
34,TrackingLong,35,8673779154507073718,0.0,0.4,0.5,19,418
35,TrackingLong,36,2907446571418917920,0.0,0.4,0.6,18,397
36,TrackingLong,37,7769491283369387324,0.0,0.4,0.7,20,446
37,TrackingLong,38,122077049887370444,0.0,0.4,0.8,17,412
38,TrackingLong,39,2587391191269711529,0.0,0.4,0.9,21,424
39,TrackingLong,40,5112413900561284087,0.0,0.4,1.0,21,464
40,TrackingLong,41,8909426792926036062,0.0,0.5,0.1,20,383
41,TrackingLong,42,5467837947904757478,0.0,0.5,0.2,20,375
42,TrackingLong,43,4323965874383714557,0.0,0.5,0.3,19,405
43,TrackingLong,44,4014707725544663938,0.0,0.5,0.4,23,388
44,TrackingLong,45,7923196244295401981,0.0,0.5,0.5,19,427
45,TrackingLong,46,4396924318845862625,0.0,0.5,0.6,18,435
46,TrackingLong,47,8227237384670574107,0.0,0.5,0.7,19,421
47,TrackingLong,48,3151921114294514948,0.0,0.5,0.8,22,404
48,TrackingLong,49,8326381495796212454,0.0,0.5,0.9,20,442
49,TrackingLong,50,2023882813118053516,0.0,0.5,1.0,15,449
50,TrackingLong,51,4147193246553292593,0.0,0.6,0.1,21,394
51,TrackingLong,52,2044415532737913891,0.0,0.6,0.2,19,425
52,TrackingLong,53,2611022133476534924,0.0,0.6,0.3,24,431
53,TrackingLong,54,8036839688833032857,0.0,0.6,0.4,17,437
54,TrackingLong,55,8267778711096569100,0.0,0.6,0.5,20,466
55,TrackingLong,56,8012970576373185931,0.0,0.6,0.6,24,447
56,TrackingLong,57,4333162774557503791,0.0,0.6,0.7,18,430
57,TrackingLong,58,6684107978673260553,0.0,0.6,0.8,17,437
58,TrackingLong,59,5533786115979160249,0.0,0.6,0.9,22,441
59,TrackingLong,60,2159221944099802802,0.0,0.6,1.0,22,429
