,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
0,TrackingMed,1,880879381715801850,0.0,0.1,0.1,27,177
1,TrackingMed,2,1726760884372734954,0.0,0.1,0.2,22,232
2,TrackingMed,3,4258223208824758363,0.0,0.1,0.3,20,274
3,TrackingMed,4,2933576904639372249,0.0,0.1,0.4,21,345
4,TrackingMed,5,1619482046725515514,0.0,0.1,0.5,20,385
5,TrackingMed,6,8295202924942681088,0.0,0.1,0.6,16,444
6,TrackingMed,7,6220178296303381513,0.0,0.1,0.7,18,461
7,TrackingMed,8,6524421527956593628,0.0,0.1,0.8,16,488
8,TrackingMed,9,1279641774440027009,0.0,0.1,0.9,20,530
9,TrackingMed,10,7094737511858396355,0.0,0.1,1.0,19,561
10,TrackingMed,11,7842193693029557975,0.0,0.2,0.1,22,235
11,TrackingMed,12,2392680491109428476,0.0,0.2,0.2,16,258
12,TrackingMed,13,3866198558357324097,0.0,0.2,0.3,23,299
13,TrackingMed,14,1395931845597272999,0.0,0.2,0.4,21,366
14,TrackingMed,15,2411645404100907887,0.0,0.2,0.5,15,440
15,TrackingMed,16,3005318628866213391,0.0,0.2,0.6,18,476
16,TrackingMed,17,1188136200599286222,0.0,0.2,0.7,23,479
17,TrackingMed,18,679805008651456991,0.0,0.2,0.8,19,489
18,TrackingMed,19,2317393341493435360,0.0,0.2,0.9,16,548
19,TrackingMed,20,4066160913880139597,0.0,0.2,1.0,16,564
20,TrackingMed,21,7584476204436865402,0.0,0.3,0.1,17,282
21,TrackingMed,22,2765986266126801683,0.0,0.3,0.2,18,352
22,TrackingMed,23,1245205721442045905,0.0,0.3,0.3,20,390
23,TrackingMed,24,2161808154937950825,0.0,0.3,0.4,17,395
24,TrackingMed,25,8239593692986775203,0.0,0.3,0.5,21,452
25,TrackingMed,26,2284277258169696329,0.0,0.3,0.6,17,481
26,TrackingMed,27,2440163239998970881,0.0,0.3,0.7,22,515
27,TrackingMed,28,4360914781284868792,0.0,0.3,0.8,21,530
28,TrackingMed,29,3630507381476877187,0.0,0.3,0.9,18,551
29,TrackingMed,30,8803386724306231915,0.0,0.3,1.0,24,568
30,TrackingMed,31,529416144729368175,0.0,0.4,0.1,21,337
31,TrackingMed,32,3302916424407910745,0.0,0.4,0.2,24,388
32,TrackingMed,33,7270368722021683965,0.0,0.4,0.3,20,396
33,TrackingMed,34,787977187255625337,0.0,0.4,0.4,21,420
34,TrackingMed,35,8673779154507073718,0.0,0.4,0.5,16,439
35,TrackingMed,36,2907446571418917920,0.0,0.4,0.6,25,490
36,TrackingMed,37,7769491283369387324,0.0,0.4,0.7,23,503
37,TrackingMed,38,122077049887370444,0.0,0.4,0.8,16,537
38,TrackingMed,39,2587391191269711529,0.0,0.4,0.9,13,531
39,TrackingMed,40,5112413900561284087,0.0,0.4,1.0,21,558
40,TrackingMed,41,8909426792926036062,0.0,0.5,0.1,18,391
41,TrackingMed,42,5467837947904757478,0.0,0.5,0.2,17,411
